;ENSCAFT00000014940_90_90;ENSCAFT00000016916_90_90;ENSCAFT00000023521_90_90;ENST00000342558_90_90;ENST00000360663_90_90;ENST00000394828_90_90;ENST00000394829_90_90;ENST00000430762_90_90;ENST00000323055_90_90;ENST00000394853_90_90;ENST00000394854_90_90;ENST00000492351_90_90;ENST00000507176_90_90;ENST00000512215_90_90;ENST00000525819_90_90;ENST00000529324_90_90;ENSMUST00000022355_90_90;ENSMUST00000159027_90_90;ENSMUST00000161445_90_90;ENSMUST00000161989_90_90;ENSMUST00000056758_90_90;ENSMUST00000070198_90_90
ENSCAFT00000014940_90_90;1.0;0.981;0.377;0.398;0.313;0.318;0.314;0.184;0.915;0.997;0.978;0.007;0.793;0.534;0.257;0.286;0.319;0.315;0.313;0.4;0.981;1.0
ENSCAFT00000016916_90_90;0.981;1.0;0.372;0.393;0.309;0.314;0.31;0.181;0.898;0.978;0.997;0.007;0.812;0.553;0.252;0.281;0.315;0.311;0.31;0.395;1.0;0.981
ENSCAFT00000023521_90_90;0.377;0.372;1.0;0.921;0.766;0.779;0.766;0.18;0.398;0.376;0.371;0.007;0.246;0.117;0.242;0.265;0.779;0.766;0.766;0.92;0.372;0.377
ENST00000342558_90_90;0.398;0.393;0.921;1.0;0.806;0.819;0.805;0.189;0.421;0.397;0.391;0.007;0.261;0.121;0.255;0.279;0.818;0.804;0.805;0.997;0.393;0.398
ENST00000360663_90_90;0.313;0.309;0.766;0.806;1.0;0.979;0.998;0.331;0.329;0.312;0.308;0.007;0.188;0.117;0.242;0.264;0.978;0.997;0.999;0.804;0.309;0.313
ENST00000394828_90_90;0.318;0.314;0.779;0.819;0.979;1.0;0.981;0.315;0.335;0.317;0.313;0.007;0.192;0.118;0.246;0.271;0.999;0.98;0.978;0.82;0.314;0.318
ENST00000394829_90_90;0.314;0.31;0.766;0.805;0.998;0.981;1.0;0.333;0.331;0.313;0.309;0.007;0.189;0.117;0.241;0.266;0.98;0.999;0.997;0.806;0.31;0.314
ENST00000430762_90_90;0.184;0.181;0.18;0.189;0.331;0.315;0.333;1.0;0.199;0.184;0.181;0.0;0.217;0.0;0.135;0.189;0.315;0.333;0.331;0.19;0.181;0.184
ENST00000323055_90_90;0.915;0.898;0.398;0.421;0.329;0.335;0.331;0.199;1.0;0.918;0.9;0.009;0.712;0.455;0.281;0.313;0.336;0.331;0.33;0.423;0.898;0.915
ENST00000394853_90_90;0.997;0.978;0.376;0.397;0.312;0.317;0.313;0.184;0.918;1.0;0.981;0.008;0.793;0.536;0.258;0.288;0.318;0.314;0.312;0.399;0.978;0.997
ENST00000394854_90_90;0.978;0.997;0.371;0.391;0.308;0.313;0.309;0.181;0.9;0.981;1.0;0.008;0.812;0.555;0.253;0.282;0.314;0.31;0.308;0.393;0.997;0.978
ENST00000492351_90_90;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.0;0.009;0.008;0.008;1.0;0.0;0.014;0.03;0.027;0.007;0.007;0.007;0.007;0.007;0.007
ENST00000507176_90_90;0.793;0.812;0.246;0.261;0.188;0.192;0.189;0.217;0.712;0.793;0.812;0.0;1.0;0.398;0.178;0.21;0.192;0.19;0.189;0.263;0.812;0.793
ENST00000512215_90_90;0.534;0.553;0.117;0.121;0.117;0.118;0.117;0.0;0.455;0.536;0.555;0.014;0.398;1.0;0.094;0.091;0.118;0.117;0.117;0.121;0.553;0.534
ENST00000525819_90_90;0.257;0.252;0.242;0.255;0.242;0.246;0.241;0.135;0.281;0.258;0.253;0.03;0.178;0.094;1.0;0.898;0.246;0.241;0.242;0.255;0.252;0.257
ENST00000529324_90_90;0.286;0.281;0.265;0.279;0.264;0.271;0.266;0.189;0.313;0.288;0.282;0.027;0.21;0.091;0.898;1.0;0.272;0.267;0.265;0.282;0.281;0.286
ENSMUST00000022355_90_90;0.319;0.315;0.779;0.818;0.978;0.999;0.98;0.315;0.336;0.318;0.314;0.007;0.192;0.118;0.246;0.272;1.0;0.981;0.979;0.821;0.315;0.319
ENSMUST00000159027_90_90;0.315;0.311;0.766;0.804;0.997;0.98;0.999;0.333;0.331;0.314;0.31;0.007;0.19;0.117;0.241;0.267;0.981;1.0;0.998;0.807;0.311;0.315
ENSMUST00000161445_90_90;0.313;0.31;0.766;0.805;0.999;0.978;0.997;0.331;0.33;0.312;0.308;0.007;0.189;0.117;0.242;0.265;0.979;0.998;1.0;0.805;0.31;0.313
ENSMUST00000161989_90_90;0.4;0.395;0.92;0.997;0.804;0.82;0.806;0.19;0.423;0.399;0.393;0.007;0.263;0.121;0.255;0.282;0.821;0.807;0.805;1.0;0.395;0.4
ENSMUST00000056758_90_90;0.981;1.0;0.372;0.393;0.309;0.314;0.31;0.181;0.898;0.978;0.997;0.007;0.812;0.553;0.252;0.281;0.315;0.311;0.31;0.395;1.0;0.981
ENSMUST00000070198_90_90;1.0;0.981;0.377;0.398;0.313;0.318;0.314;0.184;0.915;0.997;0.978;0.007;0.793;0.534;0.257;0.286;0.319;0.315;0.313;0.4;0.981;1.0
