;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;0.841;1.0;1.0;0.943;0.38;0.373;0.294;0.309;0.294;0.287;0.294;0.294;0.302;0.309;0.316;0.301;0.287;0.287;0.288;0.248;0.287;0.229;0.23;0.287;0.203;0.287
transcript8_ENSRNOG00000031503;0.841;1.0;0.841;0.841;0.835;0.373;0.383;0.26;0.273;0.26;0.251;0.26;0.26;0.267;0.274;0.28;0.266;0.251;0.251;0.252;0.215;0.254;0.197;0.198;0.254;0.179;0.254
transcript36_MGP-PahariEiJ-G0020237;1.0;0.841;1.0;1.0;0.943;0.38;0.373;0.294;0.309;0.294;0.287;0.294;0.294;0.302;0.309;0.316;0.301;0.287;0.287;0.288;0.248;0.287;0.229;0.23;0.287;0.203;0.287
transcript37_MGP-PahariEiJ-G0020237;1.0;0.841;1.0;1.0;0.943;0.38;0.373;0.294;0.309;0.294;0.287;0.294;0.294;0.302;0.309;0.316;0.301;0.287;0.287;0.288;0.248;0.287;0.229;0.23;0.287;0.203;0.287
transcript37_ENSCGRG00001010245;0.943;0.835;0.943;0.943;1.0;0.358;0.375;0.312;0.327;0.312;0.302;0.312;0.312;0.32;0.328;0.335;0.319;0.302;0.302;0.304;0.259;0.304;0.241;0.242;0.304;0.215;0.304
transcript38_MGP-PahariEiJ-G0020237;0.38;0.373;0.38;0.38;0.358;1.0;0.955;0.112;0.117;0.112;0.113;0.112;0.112;0.115;0.117;0.12;0.114;0.113;0.113;0.114;0.102;0.109;0.085;0.086;0.109;0.024;0.109
transcript38_ENSCGRG00001010245;0.373;0.383;0.373;0.373;0.375;0.955;1.0;0.117;0.123;0.117;0.12;0.117;0.117;0.12;0.123;0.126;0.12;0.12;0.12;0.12;0.104;0.114;0.087;0.088;0.114;0.024;0.114
transcript32_ENSCGRG00015005362;0.294;0.26;0.294;0.294;0.312;0.112;0.117;1.0;0.952;1.0;0.809;1.0;1.0;0.973;0.95;0.929;0.977;0.771;0.771;0.805;0.646;0.976;0.632;0.634;0.976;0.884;0.976
transcript33_ENSCGRG00015005362;0.309;0.273;0.309;0.309;0.327;0.117;0.123;0.952;1.0;0.952;0.803;0.952;0.952;0.926;0.903;0.976;0.929;0.764;0.764;0.799;0.599;0.929;0.585;0.587;0.929;0.838;0.929
transcript22_ENSCGRG00000018457;0.294;0.26;0.294;0.294;0.312;0.112;0.117;1.0;0.952;1.0;0.809;1.0;1.0;0.973;0.95;0.929;0.977;0.771;0.771;0.805;0.646;0.976;0.632;0.634;0.976;0.884;0.976
