;ENSCAFT00000047985_90_90;ENST00000320280_90_90;ENST00000510030_90_90;ENST00000511551_90_90;ENST00000614488_90_90;ENST00000618166_90_90;ENST00000621999_90_90;ENSMUST00000022197_90_90;ENSMUST00000138255_90_90;ENSMUST00000152555_90_90;ENSMUST00000153558_90_90
ENSCAFT00000047985_90_90;1.0;0.294;0.059;0.55;0.444;0.5;0.667;0.5;0.294;0.471;0.471
ENST00000320280_90_90;0.294;1.0;0.0;0.056;0.167;0.5;0.385;0.385;0.429;0.625;0.625
ENST00000510030_90_90;0.059;0.0;1.0;0.071;0.111;0.1;0.077;0.077;0.2;0.125;0.125
ENST00000511551_90_90;0.55;0.056;0.071;1.0;0.438;0.2;0.35;0.227;0.188;0.158;0.158
ENST00000614488_90_90;0.444;0.167;0.111;0.438;1.0;0.462;0.692;0.375;0.4;0.308;0.308
ENST00000618166_90_90;0.5;0.5;0.1;0.2;0.462;1.0;0.769;0.643;0.5;0.8;0.8
ENST00000621999_90_90;0.667;0.385;0.077;0.35;0.692;0.769;1.0;0.625;0.385;0.615;0.615
ENSMUST00000022197_90_90;0.5;0.385;0.077;0.227;0.375;0.643;0.625;1.0;0.385;0.615;0.615
ENSMUST00000138255_90_90;0.294;0.429;0.2;0.188;0.4;0.5;0.385;0.385;1.0;0.625;0.625
ENSMUST00000152555_90_90;0.471;0.625;0.125;0.158;0.308;0.8;0.615;0.615;0.625;1.0;1.0
ENSMUST00000153558_90_90;0.471;0.625;0.125;0.158;0.308;0.8;0.615;0.615;0.625;1.0;1.0
