;ENSCAFT00000030441_90_90;ENSCAFT00000047641_90_90;ENST00000359786_90_90;ENST00000361007_90_90;ENST00000438665_90_90;ENST00000545534_90_90;ENST00000570490_90_90;ENST00000570984_90_90;ENST00000571715_90_90;ENST00000573853_90_90;ENST00000574790_90_90;ENST00000575011_90_90;ENST00000575158_90_90;ENST00000575335_90_90;ENSMUST00000069057_90_90;ENSMUST00000102504_90_90;ENSMUST00000102505_90_90;ENSMUST00000108431_90_90;ENSMUST00000136935_90_90
ENSCAFT00000030441_90_90;1.0;0.857;0.867;0.733;0.667;0.75;0.333;0.5;0.143;0.429;0.357;0.188;0.733;0.214;0.857;0.857;1.0;0.812;0.125
ENSCAFT00000047641_90_90;0.857;1.0;0.733;0.846;0.647;0.733;0.286;0.583;0.167;0.5;0.417;0.214;0.846;0.25;1.0;1.0;0.857;0.8;0.067
ENST00000359786_90_90;0.867;0.733;1.0;0.857;0.765;0.867;0.333;0.5;0.143;0.429;0.357;0.188;0.857;0.214;0.733;0.733;0.867;0.706;0.125
ENST00000361007_90_90;0.733;0.846;0.857;1.0;0.75;0.857;0.286;0.583;0.167;0.5;0.417;0.214;1.0;0.25;0.846;0.846;0.733;0.688;0.067
ENST00000438665_90_90;0.667;0.647;0.765;0.75;1.0;0.765;0.294;0.438;0.125;0.375;0.312;0.167;0.75;0.188;0.647;0.647;0.667;0.722;0.111
ENST00000545534_90_90;0.75;0.733;0.867;0.857;0.765;1.0;0.333;0.5;0.143;0.429;0.357;0.188;0.857;0.214;0.733;0.733;0.75;0.706;0.125
ENST00000570490_90_90;0.333;0.286;0.333;0.286;0.294;0.333;1.0;0.444;0.333;0.5;0.571;0.0;0.286;0.5;0.286;0.286;0.333;0.312;0.25
ENST00000570984_90_90;0.5;0.583;0.5;0.583;0.438;0.5;0.444;1.0;0.286;0.857;0.714;0.0;0.583;0.429;0.583;0.583;0.5;0.467;0.1
ENST00000571715_90_90;0.143;0.167;0.143;0.167;0.125;0.143;0.333;0.286;1.0;0.333;0.4;0.0;0.167;0.667;0.167;0.167;0.143;0.133;0.2
ENST00000573853_90_90;0.429;0.5;0.429;0.5;0.375;0.429;0.5;0.857;0.333;1.0;0.833;0.0;0.5;0.5;0.5;0.5;0.429;0.4;0.111
ENST00000574790_90_90;0.357;0.417;0.357;0.417;0.312;0.357;0.571;0.714;0.4;0.833;1.0;0.0;0.417;0.6;0.417;0.417;0.357;0.333;0.125
ENST00000575011_90_90;0.188;0.214;0.188;0.214;0.167;0.188;0.0;0.0;0.0;0.0;0.0;1.0;0.214;0.0;0.214;0.214;0.188;0.176;0.0
ENST00000575158_90_90;0.733;0.846;0.857;1.0;0.75;0.857;0.286;0.583;0.167;0.5;0.417;0.214;1.0;0.25;0.846;0.846;0.733;0.688;0.067
ENST00000575335_90_90;0.214;0.25;0.214;0.25;0.188;0.214;0.5;0.429;0.667;0.5;0.6;0.0;0.25;1.0;0.25;0.25;0.214;0.2;0.167
ENSMUST00000069057_90_90;0.857;1.0;0.733;0.846;0.647;0.733;0.286;0.583;0.167;0.5;0.417;0.214;0.846;0.25;1.0;1.0;0.857;0.8;0.067
ENSMUST00000102504_90_90;0.857;1.0;0.733;0.846;0.647;0.733;0.286;0.583;0.167;0.5;0.417;0.214;0.846;0.25;1.0;1.0;0.857;0.8;0.067
ENSMUST00000102505_90_90;1.0;0.857;0.867;0.733;0.667;0.75;0.333;0.5;0.143;0.429;0.357;0.188;0.733;0.214;0.857;0.857;1.0;0.812;0.125
ENSMUST00000108431_90_90;0.812;0.8;0.706;0.688;0.722;0.706;0.312;0.467;0.133;0.4;0.333;0.176;0.688;0.2;0.8;0.8;0.812;1.0;0.118
ENSMUST00000136935_90_90;0.125;0.067;0.125;0.067;0.111;0.125;0.25;0.1;0.2;0.111;0.125;0.0;0.067;0.167;0.067;0.067;0.125;0.118;1.0
