;ENSCAFT00000032187_90_90;ENST00000299980_90_90;ENST00000393512_90_90;ENST00000450149_90_90;ENST00000563104_90_90;ENST00000563259_90_90;ENST00000564155_90_90;ENST00000565009_90_90;ENST00000565412_90_90;ENST00000566179_90_90;ENST00000567583_90_90;ENST00000568327_90_90;ENST00000569185_90_90;ENST00000569748_90_90;ENST00000569975_90_90;ENST00000570017_90_90;ENSMUST00000034171_90_90;ENSMUST00000093157_90_90;ENSMUST00000179104_90_90
ENSCAFT00000032187_90_90;1.0;0.993;0.989;0.186;0.176;0.227;0.3;0.223;0.104;0.071;0.112;0.283;0.17;0.993;0.065;0.032;0.998;0.996;0.0
ENST00000299980_90_90;0.993;1.0;0.996;0.185;0.176;0.227;0.3;0.224;0.104;0.071;0.112;0.285;0.17;1.0;0.065;0.032;0.994;0.991;0.0
ENST00000393512_90_90;0.989;0.996;1.0;0.185;0.175;0.227;0.299;0.223;0.104;0.07;0.111;0.284;0.169;0.996;0.065;0.032;0.991;0.987;0.0
ENST00000450149_90_90;0.186;0.185;0.185;1.0;0.822;0.754;0.0;0.684;0.487;0.0;0.521;0.609;0.794;0.185;0.303;0.152;0.186;0.185;0.0
ENST00000563104_90_90;0.176;0.176;0.175;0.822;1.0;0.774;0.0;0.696;0.592;0.0;0.634;0.613;0.965;0.176;0.369;0.184;0.176;0.175;0.0
ENST00000563259_90_90;0.227;0.227;0.227;0.754;0.774;1.0;0.004;0.899;0.458;0.0;0.49;0.792;0.747;0.227;0.285;0.143;0.227;0.226;0.0
ENST00000564155_90_90;0.3;0.3;0.299;0.0;0.0;0.004;1.0;0.004;0.0;0.0;0.0;0.003;0.0;0.3;0.0;0.0;0.3;0.299;0.0
ENST00000565009_90_90;0.223;0.224;0.223;0.684;0.696;0.899;0.004;1.0;0.412;0.0;0.441;0.737;0.671;0.224;0.256;0.128;0.223;0.225;0.0
ENST00000565412_90_90;0.104;0.104;0.104;0.487;0.592;0.458;0.0;0.412;1.0;0.0;0.935;0.363;0.613;0.104;0.623;0.311;0.104;0.104;0.0
ENST00000566179_90_90;0.071;0.071;0.07;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.071;0.0;0.0;0.071;0.07;0.0
ENST00000567583_90_90;0.112;0.112;0.111;0.521;0.634;0.49;0.0;0.441;0.935;0.0;1.0;0.388;0.656;0.112;0.582;0.291;0.112;0.111;0.0
ENST00000568327_90_90;0.283;0.285;0.284;0.609;0.613;0.792;0.003;0.737;0.363;0.0;0.388;1.0;0.592;0.285;0.226;0.113;0.285;0.284;0.0
ENST00000569185_90_90;0.17;0.17;0.169;0.794;0.965;0.747;0.0;0.671;0.613;0.0;0.656;0.592;1.0;0.17;0.382;0.191;0.17;0.169;0.0
ENST00000569748_90_90;0.993;1.0;0.996;0.185;0.176;0.227;0.3;0.224;0.104;0.071;0.112;0.285;0.17;1.0;0.065;0.032;0.994;0.991;0.0
ENST00000569975_90_90;0.065;0.065;0.065;0.303;0.369;0.285;0.0;0.256;0.623;0.0;0.582;0.226;0.382;0.065;1.0;0.5;0.065;0.065;0.0
ENST00000570017_90_90;0.032;0.032;0.032;0.152;0.184;0.143;0.0;0.128;0.311;0.0;0.291;0.113;0.191;0.032;0.5;1.0;0.032;0.032;0.0
ENSMUST00000034171_90_90;0.998;0.994;0.991;0.186;0.176;0.227;0.3;0.223;0.104;0.071;0.112;0.285;0.17;0.994;0.065;0.032;1.0;0.996;0.0
ENSMUST00000093157_90_90;0.996;0.991;0.987;0.185;0.175;0.226;0.299;0.225;0.104;0.07;0.111;0.284;0.169;0.991;0.065;0.032;0.996;1.0;0.0
ENSMUST00000179104_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
