;ENSCAFT00000014740_90_90;ENST00000262493_90_90;ENST00000262494_90_90;ENST00000562316_90_90;ENST00000563661_90_90;ENST00000564727_90_90;ENST00000568375_90_90;ENST00000569295_90_90;ENST00000570235_90_90;ENST00000638705_90_90;ENST00000639268_90_90;ENST00000639341_90_90;ENST00000639770_90_90;ENST00000640469_90_90;ENST00000640893_90_90;ENSMUST00000034198_90_90;ENSMUST00000125716_90_90;ENSMUST00000127900_90_90;ENSMUST00000137202_90_90;ENSMUST00000138659_90_90;ENSMUST00000142466_90_90;ENSMUST00000149530_90_90
ENSCAFT00000014740_90_90;;0.412;0.187;0.072;0.361;0.218;0.068;0.175;0.17;0.412;0.058;0.235;0.124;0.272;0.282;1.0;1.0;0.284;0.469;0.592;0.273;0.145
ENST00000262493_90_90;0.412;;;;;;;;;;;;;;;0.412;0.412;0.108;0.122;0.187;0.199;0.092
ENST00000262494_90_90;0.187;;;;;;;;;;;;;;;0.187;0.187;0.117;0.134;0.202;0.0;0.0
ENST00000562316_90_90;0.072;;;;;;;;;;;;;;;0.072;0.072;0.0;0.0;0.0;0.193;0.284
ENST00000563661_90_90;0.361;;;;;;;;;;;;;;;0.361;0.361;0.378;0.362;0.419;0.0;0.0
ENST00000564727_90_90;0.218;;;;;;;;;;;;;;;0.218;0.218;0.0;0.0;0.0;0.757;0.383
ENST00000568375_90_90;0.068;;;;;;;;;;;;;;;0.068;0.068;0.0;0.0;0.0;0.164;0.0
ENST00000569295_90_90;0.175;;;;;;;;;;;;;;;0.175;0.175;0.0;0.059;0.201;0.0;0.0
ENST00000570235_90_90;0.17;;;;;;;;;;;;;;;0.17;0.17;0.0;0.059;0.195;0.0;0.0
ENST00000638705_90_90;0.412;;;;;;;;;;;;;;;0.412;0.412;0.108;0.122;0.187;0.199;0.092
ENST00000639268_90_90;0.058;;;;;;;;;;;;;;;0.058;0.058;0.157;0.111;0.066;0.0;0.0
ENST00000639341_90_90;0.235;;;;;;;;;;;;;;;0.235;0.235;0.0;0.0;0.0;0.353;0.159
ENST00000639770_90_90;0.124;;;;;;;;;;;;;;;0.124;0.124;0.0;0.066;0.141;0.0;0.0
ENST00000640469_90_90;0.272;;;;;;;;;;;;;;;0.272;0.272;0.0;0.0;0.0;0.477;0.211
ENST00000640893_90_90;0.282;;;;;;;;;;;;;;;0.282;0.282;0.23;0.238;0.319;0.0;0.0
ENSMUST00000034198_90_90;1.0;0.412;0.187;0.072;0.361;0.218;0.068;0.175;0.17;0.412;0.058;0.235;0.124;0.272;0.282;;;;;;;
ENSMUST00000125716_90_90;1.0;0.412;0.187;0.072;0.361;0.218;0.068;0.175;0.17;0.412;0.058;0.235;0.124;0.272;0.282;;;;;;;
ENSMUST00000127900_90_90;0.284;0.108;0.117;0.0;0.378;0.0;0.0;0.0;0.0;0.108;0.157;0.0;0.0;0.0;0.23;;;;;;;
ENSMUST00000137202_90_90;0.469;0.122;0.134;0.0;0.362;0.0;0.0;0.059;0.059;0.122;0.111;0.0;0.066;0.0;0.238;;;;;;;
ENSMUST00000138659_90_90;0.592;0.187;0.202;0.0;0.419;0.0;0.0;0.201;0.195;0.187;0.066;0.0;0.141;0.0;0.319;;;;;;;
ENSMUST00000142466_90_90;0.273;0.199;0.0;0.193;0.0;0.757;0.164;0.0;0.0;0.199;0.0;0.353;0.0;0.477;0.0;;;;;;;
ENSMUST00000149530_90_90;0.145;0.092;0.0;0.284;0.0;0.383;0.0;0.0;0.0;0.092;0.0;0.159;0.0;0.211;0.0;;;;;;;
