;transcript1_ENSMLUG00000027828;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript30_ENSSTOG00000019743;transcript31_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript30_ENSCCNG00000000226;transcript29_ENSCPOG00000024843;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.975;0.914;0.997;0.826;0.801;0.801;0.801;0.785;0.841;0.841;0.914;0.914;0.897;0.914
transcript10_ENSMLUG00000027828;0.975;1.0;0.887;0.971;0.798;0.772;0.772;0.772;0.756;0.819;0.819;0.889;0.889;0.872;0.889
transcript16_ENSMLUG00000027828;0.914;0.887;1.0;0.911;0.761;0.735;0.735;0.735;0.719;0.761;0.761;0.836;0.836;0.818;0.836
transcript28_ENSMLUG00000027828;0.997;0.971;0.911;1.0;0.825;0.8;0.8;0.8;0.788;0.838;0.838;0.911;0.911;0.9;0.911
transcript1_ENSSTOG00000019743;0.826;0.798;0.761;0.825;1.0;0.963;0.963;0.963;0.946;0.831;0.831;0.904;0.904;0.891;0.904
transcript9_ENSSTOG00000019743;0.801;0.772;0.735;0.8;0.963;1.0;1.0;1.0;0.982;0.803;0.803;0.871;0.871;0.857;0.871
transcript29_ENSSTOG00000019743;0.801;0.772;0.735;0.8;0.963;1.0;1.0;1.0;0.982;0.803;0.803;0.871;0.871;0.857;0.871
transcript30_ENSSTOG00000019743;0.801;0.772;0.735;0.8;0.963;1.0;1.0;1.0;0.982;0.803;0.803;0.871;0.871;0.857;0.871
transcript31_ENSSTOG00000019743;0.785;0.756;0.719;0.788;0.946;0.982;0.982;0.982;1.0;0.789;0.789;0.855;0.855;0.871;0.855
transcript1_ENSCCNG00000000226;0.841;0.819;0.761;0.838;0.831;0.803;0.803;0.803;0.789;1.0;1.0;0.916;0.916;0.901;0.916
transcript30_ENSCCNG00000000226;0.841;0.819;0.761;0.838;0.831;0.803;0.803;0.803;0.789;1.0;1.0;0.916;0.916;0.901;0.916
transcript29_ENSCPOG00000024843;0.914;0.889;0.836;0.911;0.904;0.871;0.871;0.871;0.855;0.916;0.916;1.0;1.0;0.983;1.0
transcript35_ENSCPOG00000024843;0.914;0.889;0.836;0.911;0.904;0.871;0.871;0.871;0.855;0.916;0.916;1.0;1.0;0.983;1.0
transcript36_ENSCPOG00000024843;0.897;0.872;0.818;0.9;0.891;0.857;0.857;0.857;0.871;0.901;0.901;0.983;0.983;1.0;0.983
transcript37_ENSCPOG00000024843;0.914;0.889;0.836;0.911;0.904;0.871;0.871;0.871;0.855;0.916;0.916;1.0;1.0;0.983;1.0
