;transcript8_ENSMSIG00000000513;transcript47_MGP-SPRETEiJ-G0021131;transcript8_ENSMUSG00000054036;transcript42_ENSMUSG00000054036;transcript47_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript42_ENSRNOG00000031503;transcript7_ENSMUGG00000013649;transcript44_ENSMUGG00000013649;transcript47_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;1.0;0.97;0.352;0.913;0.85;0.735;0.967;1.0;1.0;1.0;1.0;0.996;0.996;0.996;0.996;0.996;1.0
transcript47_MGP-SPRETEiJ-G0021131;1.0;1.0;1.0;0.816;1.0;0.566;1.0;0.974;0.974;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript8_ENSMUSG00000054036;1.0;1.0;1.0;0.97;0.352;0.913;0.85;0.594;0.804;0.819;0.819;0.819;0.819;0.908;0.818;0.908;0.818;0.818;0.819
transcript42_ENSMUSG00000054036;0.97;0.816;0.97;1.0;0.32;0.941;0.82;0.599;0.809;0.791;0.791;0.791;0.791;0.878;0.789;0.878;0.789;0.789;0.791
transcript47_ENSMUSG00000054036;0.352;1.0;0.352;0.32;1.0;0.243;0.404;0.282;0.237;0.234;0.234;0.234;0.234;0.299;0.242;0.299;0.242;0.242;0.234
transcript54_ENSMUSG00000054036;0.913;0.566;0.913;0.941;0.243;1.0;0.758;0.535;0.748;0.743;0.743;0.743;0.743;0.822;0.738;0.822;0.738;0.738;0.743
transcript55_ENSMUSG00000054036;0.85;1.0;0.85;0.82;0.404;0.758;1.0;0.462;0.674;0.68;0.68;0.68;0.68;0.779;0.695;0.779;0.695;0.695;0.68
transcript8_ENSRNOG00000031503;0.735;0.974;0.594;0.599;0.282;0.535;0.462;1.0;0.835;0.78;0.75;0.578;0.707;0.697;0.785;0.706;0.726;0.655;0.828
transcript42_ENSRNOG00000031503;0.967;0.974;0.804;0.809;0.237;0.748;0.674;0.835;1.0;0.926;0.898;0.732;0.857;0.844;0.928;0.853;0.871;0.802;0.964
transcript7_ENSMUGG00000013649;1.0;1.0;0.819;0.791;0.234;0.743;0.68;0.78;0.926;1.0;0.972;0.788;0.923;0.909;0.994;0.915;0.934;0.849;0.958
transcript44_ENSMUGG00000013649;1.0;1.0;0.819;0.791;0.234;0.743;0.68;0.75;0.898;0.972;1.0;0.811;0.95;0.88;0.966;0.887;0.906;0.82;0.931
transcript47_ENSMUGG00000013649;1.0;1.0;0.819;0.791;0.234;0.743;0.68;0.578;0.732;0.788;0.811;1.0;0.762;0.694;0.781;0.701;0.721;0.635;0.754
transcript48_ENSMUGG00000013649;1.0;1.0;0.819;0.791;0.234;0.743;0.68;0.707;0.857;0.923;0.95;0.762;1.0;0.831;0.918;0.839;0.858;0.772;0.885
transcript7_ENSMUGG00000013592;0.996;1.0;0.908;0.878;0.299;0.822;0.779;0.697;0.844;0.909;0.88;0.694;0.831;1.0;0.915;0.992;0.853;0.768;0.878
transcript28_ENSMUGG00000013592;0.996;1.0;0.818;0.789;0.242;0.738;0.695;0.785;0.928;0.994;0.966;0.781;0.918;0.915;1.0;0.921;0.94;0.854;0.962
transcript52_ENSMUGG00000013592;0.996;1.0;0.908;0.878;0.299;0.822;0.779;0.706;0.853;0.915;0.887;0.701;0.839;0.992;0.921;1.0;0.861;0.774;0.885
transcript53_ENSMUGG00000013592;0.996;1.0;0.818;0.789;0.242;0.738;0.695;0.726;0.871;0.934;0.906;0.721;0.858;0.853;0.94;0.861;1.0;0.794;0.903
transcript54_ENSMUGG00000013592;0.996;1.0;0.818;0.789;0.242;0.738;0.695;0.655;0.802;0.849;0.82;0.635;0.772;0.768;0.854;0.774;0.794;1.0;0.821
transcript25_ENSPEMG00000024651;1.0;1.0;0.819;0.791;0.234;0.743;0.68;0.828;0.964;0.958;0.931;0.754;0.885;0.878;0.962;0.885;0.903;0.821;1.0
