;transcript39_ENSRNOG00000031503;transcript7_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript39_MGP-PahariEiJ-G0020237;transcript38_ENSMUSG00000054036;transcript50_ENSRNOG00000031503;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript63_MGP-SPRETEiJ-G0021131;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript8_ENSRNOG00000031503
transcript39_ENSRNOG00000031503;1.0;0.653;0.501;0.833;0.95;0.957;0.477;0.922;0.738;0.829;0.499;0.359;0.586;0.416;0.511;0.838;0.921;0.946;0.903;0.944;0.962;0.962;0.635
transcript7_ENSMSIG00000000513;0.653;1.0;0.758;0.802;0.709;0.692;0.405;0.695;0.752;0.845;0.368;0.431;0.557;0.707;0.647;0.47;0.73;0.708;0.744;0.706;0.654;0.654;0.653
transcript58_ENSMUSG00000054036;0.501;0.758;1.0;0.635;0.547;0.538;0.407;0.466;0.531;0.624;0.395;0.485;0.511;0.665;0.982;0.373;0.502;0.529;0.513;0.528;0.485;0.485;0.438
transcript54_ENSMUSG00000054036;0.833;0.802;0.635;1.0;0.884;0.864;0.347;0.802;0.891;0.946;0.367;0.405;0.435;0.49;0.677;0.7;0.829;0.855;0.845;0.855;0.812;0.812;0.806
transcript55_ENSMUSG00000054036;0.95;0.709;0.547;0.884;1.0;0.986;0.45;0.879;0.831;0.893;0.491;0.356;0.572;0.415;0.593;0.861;0.942;0.968;0.923;0.968;0.928;0.928;0.717
transcript39_MGP-PahariEiJ-G0020237;0.957;0.692;0.538;0.864;0.986;1.0;0.462;0.92;0.776;0.861;0.473;0.345;0.587;0.422;0.54;0.867;0.978;1.0;0.96;1.0;0.963;0.963;0.61
transcript38_ENSMUSG00000054036;0.477;0.405;0.407;0.347;0.45;0.462;1.0;0.426;0.234;0.382;0.98;0.756;0.974;0.75;0.404;0.645;0.434;0.462;0.413;0.461;0.481;0.481;0.204
transcript50_ENSRNOG00000031503;0.922;0.695;0.466;0.802;0.879;0.92;0.426;1.0;0.742;0.808;0.444;0.336;0.521;0.391;0.466;0.742;0.946;0.923;0.962;0.922;0.96;0.96;0.628
transcript8_MGP-CAROLIEiJ-G0020234;0.738;0.752;0.531;0.891;0.831;0.776;0.234;0.742;1.0;0.919;0.252;0.272;0.301;0.328;0.549;0.633;0.762;0.767;0.77;0.766;0.738;0.738;0.958
transcript47_MGP-CAROLIEiJ-G0020234;0.829;0.845;0.624;0.946;0.893;0.861;0.382;0.808;0.919;1.0;0.412;0.44;0.497;0.533;0.65;0.751;0.838;0.863;0.845;0.863;0.832;0.832;0.791
transcript38_ENSMSIG00000000513;0.499;0.368;0.395;0.367;0.491;0.473;0.98;0.444;0.252;0.412;1.0;0.74;0.996;0.735;0.399;0.826;0.448;0.476;0.426;0.474;0.5;0.5;0.22
transcript52_ENSMSIG00000000513;0.359;0.431;0.485;0.405;0.356;0.345;0.756;0.336;0.272;0.44;0.74;1.0;0.732;0.994;0.485;0.599;0.328;0.356;0.334;0.355;0.361;0.361;0.255
transcript38_MGP-SPRETEiJ-G0021131;0.586;0.557;0.511;0.435;0.572;0.587;0.974;0.521;0.301;0.497;0.996;0.732;1.0;0.737;0.521;0.65;0.552;0.588;0.526;0.586;0.59;0.59;0.238
transcript52_MGP-SPRETEiJ-G0021131;0.416;0.707;0.665;0.49;0.415;0.422;0.75;0.391;0.328;0.533;0.735;0.994;0.737;1.0;0.673;0.465;0.401;0.437;0.41;0.435;0.42;0.42;0.284
transcript58_ENSMSIG00000000513;0.511;0.647;0.982;0.677;0.593;0.54;0.404;0.466;0.549;0.65;0.399;0.485;0.521;0.673;1.0;0.5;0.504;0.533;0.515;0.531;0.489;0.489;0.477
