;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;0.894;1.0;1.0;0.961;0.408;0.403;0.247;0.267;0.247;0.241;0.247;0.247;0.253;0.258;0.272;0.252;0.241;0.241;0.242;0.213;0.241;0.19;0.191;0.241;0.172;0.241
transcript8_ENSRNOG00000031503;0.894;1.0;0.894;0.894;0.888;0.403;0.409;0.226;0.244;0.226;0.22;0.226;0.226;0.231;0.237;0.249;0.231;0.219;0.219;0.22;0.193;0.221;0.17;0.17;0.221;0.157;0.221
transcript36_MGP-PahariEiJ-G0020237;1.0;0.894;1.0;1.0;0.961;0.408;0.403;0.247;0.267;0.247;0.241;0.247;0.247;0.253;0.258;0.272;0.252;0.241;0.241;0.242;0.213;0.241;0.19;0.191;0.241;0.172;0.241
transcript37_MGP-PahariEiJ-G0020237;1.0;0.894;1.0;1.0;0.961;0.408;0.403;0.247;0.267;0.247;0.241;0.247;0.247;0.253;0.258;0.272;0.252;0.241;0.241;0.242;0.213;0.241;0.19;0.191;0.241;0.172;0.241
transcript37_ENSCGRG00001010245;0.961;0.888;0.961;0.961;1.0;0.393;0.405;0.258;0.278;0.258;0.251;0.258;0.258;0.264;0.27;0.284;0.263;0.25;0.25;0.252;0.219;0.252;0.197;0.198;0.252;0.178;0.252
transcript38_MGP-PahariEiJ-G0020237;0.408;0.403;0.408;0.408;0.393;1.0;0.97;0.1;0.108;0.1;0.1;0.1;0.1;0.102;0.104;0.11;0.102;0.1;0.1;0.101;0.091;0.097;0.069;0.069;0.097;0.027;0.097
transcript38_ENSCGRG00001010245;0.403;0.409;0.403;0.403;0.405;0.97;1.0;0.103;0.112;0.103;0.104;0.103;0.103;0.105;0.107;0.114;0.105;0.104;0.104;0.104;0.092;0.101;0.07;0.07;0.101;0.027;0.101
transcript32_ENSCGRG00015005362;0.247;0.226;0.247;0.247;0.258;0.1;0.103;1.0;0.921;1.0;0.879;1.0;1.0;0.978;0.957;0.903;0.982;0.842;0.842;0.875;0.758;0.978;0.738;0.74;0.978;0.903;0.978
transcript33_ENSCGRG00015005362;0.267;0.244;0.267;0.267;0.278;0.108;0.112;0.921;1.0;0.921;0.828;0.921;0.921;0.9;0.879;0.98;0.903;0.791;0.791;0.825;0.68;0.9;0.661;0.663;0.9;0.826;0.9
transcript22_ENSCGRG00000018457;0.247;0.226;0.247;0.247;0.258;0.1;0.103;1.0;0.921;1.0;0.879;1.0;1.0;0.978;0.957;0.903;0.982;0.842;0.842;0.875;0.758;0.978;0.738;0.74;0.978;0.903;0.978
