;transcript15_ENSPEMG00000024651;transcript6_ENSMPUG00000020072;transcript25_ENSCPOG00000024843;transcript6_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript36_ENSCGRG00000018457;transcript15_ENSSTOG00000019743
transcript15_ENSPEMG00000024651;1.0;0.746;0.809;0.754;0.754;0.729;0.864;0.818;0.754;0.478;0.933;0.933;0.933;0.865;0.819
transcript6_ENSMPUG00000020072;0.746;1.0;0.903;0.879;0.879;0.854;0.764;0.731;0.849;0.588;0.791;0.791;0.791;0.746;0.732
transcript25_ENSCPOG00000024843;0.809;0.903;1.0;0.911;0.911;0.879;0.786;0.747;0.911;0.611;0.868;0.868;0.868;0.809;0.755
transcript6_ENSECAG00000007947;0.754;0.879;0.911;1.0;1.0;0.966;0.863;0.821;0.857;0.589;0.792;0.792;0.792;0.754;0.754
transcript20_ENSECAG00000007947;0.754;0.879;0.911;1.0;1.0;0.966;0.863;0.821;0.857;0.589;0.792;0.792;0.792;0.754;0.754
transcript7_ENSECAG00000007947;0.729;0.854;0.879;0.966;0.966;1.0;0.829;0.786;0.885;0.557;0.761;0.761;0.761;0.722;0.721
transcript19_ENSECAG00000007947;0.864;0.764;0.786;0.863;0.863;0.829;1.0;0.95;0.737;0.465;0.906;0.906;0.906;0.864;0.868
transcript21_ENSECAG00000007947;0.818;0.731;0.747;0.821;0.821;0.786;0.95;1.0;0.704;0.485;0.861;0.861;0.861;0.905;0.838
transcript7_ENSMLUG00000027828;0.754;0.849;0.911;0.857;0.857;0.885;0.737;0.704;1.0;0.616;0.799;0.799;0.799;0.768;0.712
transcript13_ENSMLUG00000027828;0.478;0.588;0.611;0.589;0.589;0.557;0.465;0.485;0.616;1.0;0.496;0.496;0.496;0.527;0.456
transcript15_ENSCGRG00015005362;0.933;0.791;0.868;0.792;0.792;0.761;0.906;0.861;0.799;0.496;1.0;1.0;1.0;0.933;0.87
transcript15_ENSCGRG00000018457;0.933;0.791;0.868;0.792;0.792;0.761;0.906;0.861;0.799;0.496;1.0;1.0;1.0;0.933;0.87
transcript15_ENSCGRG00001010245;0.933;0.791;0.868;0.792;0.792;0.761;0.906;0.861;0.799;0.496;1.0;1.0;1.0;0.933;0.87
transcript36_ENSCGRG00000018457;0.865;0.746;0.809;0.754;0.754;0.722;0.864;0.905;0.768;0.527;0.933;0.933;0.933;1.0;0.844
transcript15_ENSSTOG00000019743;0.819;0.732;0.755;0.754;0.754;0.721;0.868;0.838;0.712;0.456;0.87;0.87;0.87;0.844;1.0
