;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.954;0.935;0.593;0.503;0.476;0.636;0.444;0.503;0.364;0.469;0.434;0.434;0.377;0.484;0.475
transcript19_ppan;0.954;1.0;0.889;0.559;0.482;0.454;0.655;0.422;0.482;0.335;0.445;0.411;0.411;0.347;0.457;0.455
transcript20_ppan;0.935;0.889;1.0;0.546;0.472;0.444;0.592;0.459;0.472;0.323;0.434;0.45;0.45;0.335;0.502;0.445
transcript12_ptro;0.593;0.559;0.546;1.0;0.589;0.562;0.398;0.531;0.589;0.667;0.56;0.527;0.527;0.694;0.587;0.581
transcript12_hsap;0.503;0.482;0.472;0.589;1.0;0.973;0.662;0.941;1.0;0.499;0.827;0.796;0.796;0.512;0.728;0.94
transcript18_hsap;0.476;0.454;0.444;0.562;0.973;1.0;0.68;0.968;0.973;0.473;0.8;0.77;0.77;0.486;0.702;0.915
transcript19_hsap;0.636;0.655;0.592;0.398;0.662;0.68;1.0;0.647;0.662;0.238;0.578;0.546;0.546;0.244;0.469;0.624
transcript20_hsap;0.444;0.422;0.459;0.531;0.941;0.968;0.647;1.0;0.941;0.443;0.77;0.794;0.794;0.455;0.724;0.885
transcript21_hsap;0.503;0.482;0.472;0.589;1.0;0.973;0.662;0.941;1.0;0.499;0.827;0.796;0.796;0.512;0.728;0.94
transcript11_ggor;0.364;0.335;0.323;0.667;0.499;0.473;0.238;0.443;0.499;1.0;0.587;0.552;0.552;0.949;0.625;0.535
transcript12_ggor;0.469;0.445;0.434;0.56;0.827;0.8;0.578;0.77;0.827;0.587;1.0;0.964;0.964;0.607;0.846;0.839
transcript16_ggor;0.434;0.411;0.45;0.527;0.796;0.77;0.546;0.794;0.796;0.552;0.964;1.0;1.0;0.57;0.877;0.809
transcript17_ggor;0.434;0.411;0.45;0.527;0.796;0.77;0.546;0.794;0.796;0.552;0.964;1.0;1.0;0.57;0.877;0.809
transcript18_ggor;0.377;0.347;0.335;0.694;0.512;0.486;0.244;0.455;0.512;0.949;0.607;0.57;0.57;1.0;0.649;0.509
transcript19_ggor;0.484;0.457;0.502;0.587;0.728;0.702;0.469;0.724;0.728;0.625;0.846;0.877;0.877;0.649;1.0;0.717
transcript8_pabe;0.475;0.455;0.445;0.581;0.94;0.915;0.624;0.885;0.94;0.535;0.839;0.809;0.809;0.509;0.717;1.0
