;ENSCAFT00000005965_90_90;ENSCAFT00000045237_90_90;ENST00000323906_90_90;ENST00000391859_90_90;ENST00000426897_90_90;ENST00000535669_90_90;ENST00000594743_90_90;ENST00000595660_90_90;ENST00000595725_90_90;ENST00000597602_90_90;ENST00000598095_90_90;ENSMUST00000033063_90_90;ENSMUST00000098461_90_90;ENSMUST00000209779_90_90;ENSMUST00000210078_90_90;ENSMUST00000210226_90_90;ENSMUST00000210372_90_90;ENSMUST00000211373_90_90
ENSCAFT00000005965_90_90;1.0;0.924;0.571;0.195;0.684;0.486;0.344;0.11;0.151;0.084;0.576;0.429;0.453;0.445;0.412;0.093;0.0;0.389
ENSCAFT00000045237_90_90;0.924;1.0;0.509;0.135;0.623;0.426;0.364;0.055;0.088;0.018;0.517;0.454;0.48;0.474;0.439;0.1;0.0;0.412
ENST00000323906_90_90;0.571;0.509;1.0;0.353;0.758;0.868;0.37;0.342;0.431;0.095;0.637;0.469;0.496;0.49;0.366;0.1;0.161;0.427
ENST00000391859_90_90;0.195;0.135;0.353;1.0;0.142;0.365;0.006;0.552;0.686;0.171;0.147;0.115;0.121;0.131;0.066;0.0;0.281;0.129
ENST00000426897_90_90;0.684;0.623;0.758;0.142;1.0;0.637;0.448;0.136;0.194;0.125;0.828;0.369;0.392;0.38;0.341;0.128;0.0;0.319
ENST00000535669_90_90;0.486;0.426;0.868;0.365;0.637;1.0;0.381;0.354;0.448;0.099;0.748;0.392;0.414;0.506;0.377;0.103;0.167;0.44
ENST00000594743_90_90;0.344;0.364;0.37;0.006;0.448;0.381;1.0;0.002;0.029;0.0;0.464;0.311;0.328;0.339;0.334;0.185;0.0;0.348
ENST00000595660_90_90;0.11;0.055;0.342;0.552;0.136;0.354;0.002;1.0;0.654;0.166;0.14;0.114;0.12;0.13;0.066;0.0;0.308;0.127
ENST00000595725_90_90;0.151;0.088;0.431;0.686;0.194;0.448;0.029;0.654;1.0;0.22;0.202;0.147;0.156;0.171;0.097;0.0;0.341;0.167
ENST00000597602_90_90;0.084;0.018;0.095;0.171;0.125;0.099;0.0;0.166;0.22;1.0;0.132;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000598095_90_90;0.576;0.517;0.637;0.147;0.828;0.748;0.464;0.14;0.202;0.132;1.0;0.292;0.309;0.393;0.353;0.134;0.0;0.329
ENSMUST00000033063_90_90;0.429;0.454;0.469;0.115;0.369;0.392;0.311;0.114;0.147;0.0;0.292;1.0;0.927;0.697;0.776;0.193;0.15;0.839
ENSMUST00000098461_90_90;0.453;0.48;0.496;0.121;0.392;0.414;0.328;0.12;0.156;0.0;0.309;0.927;1.0;0.748;0.714;0.208;0.161;0.905
ENSMUST00000209779_90_90;0.445;0.474;0.49;0.131;0.38;0.506;0.339;0.13;0.171;0.0;0.393;0.697;0.748;1.0;0.727;0.11;0.179;0.809
ENSMUST00000210078_90_90;0.412;0.439;0.366;0.066;0.341;0.377;0.334;0.066;0.097;0.0;0.353;0.776;0.714;0.727;1.0;0.161;0.09;0.773
ENSMUST00000210226_90_90;0.093;0.1;0.1;0.0;0.128;0.103;0.185;0.0;0.0;0.0;0.134;0.193;0.208;0.11;0.161;1.0;0.0;0.236
ENSMUST00000210372_90_90;0.0;0.0;0.161;0.281;0.0;0.167;0.0;0.308;0.341;0.0;0.0;0.15;0.161;0.179;0.09;0.0;1.0;0.175
ENSMUST00000211373_90_90;0.389;0.412;0.427;0.129;0.319;0.44;0.348;0.127;0.167;0.0;0.329;0.839;0.905;0.809;0.773;0.236;0.175;1.0
