;ENSCAFT00000002475_90_90;ENST00000341376_90_90;ENST00000353205_90_90;ENSMUST00000046719_90_90;ENSMUST00000078800_90_90;ENSMUST00000159063_90_90;ENSMUST00000159237_90_90;ENSMUST00000159535_90_90;ENSMUST00000160319_90_90;ENSMUST00000161117_90_90;ENSMUST00000161256_90_90;ENSMUST00000162460_90_90
ENSCAFT00000002475_90_90;1.0;0.997;0.914;0.993;0.99;0.893;0.48;0.663;0.976;0.616;0.607;0.91
ENST00000341376_90_90;0.997;1.0;0.916;0.996;0.993;0.895;0.478;0.665;0.979;0.615;0.605;0.913
ENST00000353205_90_90;0.914;0.916;1.0;0.913;0.915;0.977;0.518;0.591;0.895;0.577;0.66;0.996
ENSMUST00000046719_90_90;0.993;0.996;0.913;1.0;0.997;0.899;0.478;0.669;0.983;0.618;0.608;0.916
ENSMUST00000078800_90_90;0.99;0.993;0.915;0.997;1.0;0.902;0.48;0.671;0.98;0.619;0.61;0.919
ENSMUST00000159063_90_90;0.893;0.895;0.977;0.899;0.902;1.0;0.501;0.605;0.915;0.562;0.655;0.981
ENSMUST00000159237_90_90;0.48;0.478;0.518;0.478;0.48;0.501;1.0;0.178;0.462;0.24;0.736;0.518
ENSMUST00000159535_90_90;0.663;0.665;0.591;0.669;0.671;0.605;0.178;1.0;0.68;0.797;0.292;0.594
ENSMUST00000160319_90_90;0.976;0.979;0.895;0.983;0.98;0.915;0.462;0.68;1.0;0.6;0.6;0.899
ENSMUST00000161117_90_90;0.616;0.615;0.577;0.618;0.619;0.562;0.24;0.797;0.6;1.0;0.363;0.58
ENSMUST00000161256_90_90;0.607;0.605;0.66;0.608;0.61;0.655;0.736;0.292;0.6;0.363;1.0;0.664
ENSMUST00000162460_90_90;0.91;0.913;0.996;0.916;0.919;0.981;0.518;0.594;0.899;0.58;0.664;1.0
