;ENSCAFT00000016458_90_90;ENSCAFT00000047049_90_90;ENST00000257118_90_90;ENST00000373418_90_90;ENST00000373422_90_90;ENST00000431992_90_90;ENSMUST00000030588_90_90;ENSMUST00000106079_90_90;ENSMUST00000106080_90_90;ENSMUST00000120946_90_90;ENSMUST00000133439_90_90;ENSMUST00000134421_90_90;ENSMUST00000136377_90_90;ENSMUST00000138445_90_90;ENSMUST00000143632_90_90;ENSMUST00000147572_90_90
ENSCAFT00000016458_90_90;1.0;0.966;0.964;0.392;0.562;1.0;0.965;0.398;0.965;0.028;0.066;0.177;0.276;0.049;0.049;0.249
ENSCAFT00000047049_90_90;0.966;1.0;0.998;0.378;0.543;0.966;1.0;0.384;1.0;0.027;0.063;0.17;0.311;0.048;0.048;0.241
ENST00000257118_90_90;0.964;0.998;1.0;0.376;0.539;0.965;0.999;0.382;0.999;0.027;0.063;0.17;0.315;0.047;0.047;0.239
ENST00000373418_90_90;0.392;0.378;0.376;1.0;0.696;0.389;0.382;1.0;0.382;0.07;0.165;0.444;0.0;0.124;0.124;0.626
ENST00000373422_90_90;0.562;0.543;0.539;0.696;1.0;0.559;0.548;0.696;0.548;0.049;0.115;0.309;0.0;0.086;0.086;0.436
ENST00000431992_90_90;1.0;0.966;0.965;0.389;0.559;1.0;0.966;0.395;0.966;0.028;0.065;0.175;0.281;0.049;0.049;0.248
ENSMUST00000030588_90_90;0.965;1.0;0.999;0.382;0.548;0.966;1.0;0.38;1.0;0.027;0.063;0.169;0.317;0.047;0.047;0.238
ENSMUST00000106079_90_90;0.398;0.384;0.382;1.0;0.696;0.395;0.38;1.0;0.38;0.07;0.165;0.444;0.0;0.124;0.124;0.626
ENSMUST00000106080_90_90;0.965;1.0;0.999;0.382;0.548;0.966;1.0;0.38;1.0;0.027;0.063;0.169;0.317;0.047;0.047;0.238
ENSMUST00000120946_90_90;0.028;0.027;0.027;0.07;0.049;0.028;0.027;0.07;0.027;1.0;0.425;0.158;0.0;0.446;0.446;0.112
ENSMUST00000133439_90_90;0.066;0.063;0.063;0.165;0.115;0.065;0.063;0.165;0.063;0.425;1.0;0.372;0.0;0.302;0.302;0.264
ENSMUST00000134421_90_90;0.177;0.17;0.17;0.444;0.309;0.175;0.169;0.444;0.169;0.158;0.372;1.0;0.0;0.279;0.279;0.708
ENSMUST00000136377_90_90;0.276;0.311;0.315;0.0;0.0;0.281;0.317;0.0;0.317;0.0;0.0;0.0;1.0;0.0;0.0;0.0
ENSMUST00000138445_90_90;0.049;0.048;0.047;0.124;0.086;0.049;0.047;0.124;0.047;0.446;0.302;0.279;0.0;1.0;1.0;0.198
ENSMUST00000143632_90_90;0.049;0.048;0.047;0.124;0.086;0.049;0.047;0.124;0.047;0.446;0.302;0.279;0.0;1.0;1.0;0.198
ENSMUST00000147572_90_90;0.249;0.241;0.239;0.626;0.436;0.248;0.238;0.626;0.238;0.112;0.264;0.708;0.0;0.198;0.198;1.0
