;ENSCAFT00000014940_90_90;ENSCAFT00000016916_90_90;ENSCAFT00000023521_90_90;ENST00000342558_90_90;ENST00000360663_90_90;ENST00000394828_90_90;ENST00000394829_90_90;ENST00000430762_90_90;ENST00000323055_90_90;ENST00000394853_90_90;ENST00000394854_90_90;ENST00000492351_90_90;ENST00000507176_90_90;ENST00000512215_90_90;ENST00000525819_90_90;ENST00000529324_90_90;ENSMUST00000022355_90_90;ENSMUST00000159027_90_90;ENSMUST00000161445_90_90;ENSMUST00000161989_90_90;ENSMUST00000056758_90_90;ENSMUST00000070198_90_90
ENSCAFT00000014940_90_90;1.0;0.98;0.709;0.661;0.489;0.519;0.517;0.292;0.948;1.0;0.98;0.014;0.769;0.384;0.314;0.393;0.542;0.54;0.511;0.716;0.98;1.0
ENSCAFT00000016916_90_90;0.98;1.0;0.706;0.658;0.487;0.517;0.515;0.291;0.928;0.98;1.0;0.014;0.789;0.404;0.307;0.385;0.54;0.538;0.509;0.713;1.0;0.98
ENSCAFT00000023521_90_90;0.709;0.706;1.0;0.981;0.797;0.818;0.81;0.28;0.713;0.7;0.697;0.019;0.489;0.171;0.335;0.394;0.818;0.81;0.797;0.994;0.699;0.702
ENST00000342558_90_90;0.661;0.658;0.981;1.0;0.764;0.763;0.75;0.236;0.663;0.65;0.647;0.019;0.45;0.176;0.34;0.357;0.753;0.739;0.754;0.967;0.65;0.653
ENST00000360663_90_90;0.489;0.487;0.797;0.764;1.0;0.95;0.972;0.368;0.486;0.477;0.475;0.026;0.283;0.22;0.419;0.423;0.936;0.959;0.986;0.739;0.481;0.483
ENST00000394828_90_90;0.519;0.517;0.818;0.763;0.95;1.0;0.978;0.372;0.518;0.508;0.506;0.025;0.314;0.207;0.397;0.466;0.986;0.964;0.936;0.775;0.511;0.513
ENST00000394829_90_90;0.517;0.515;0.81;0.75;0.972;0.978;1.0;0.393;0.516;0.506;0.504;0.025;0.313;0.206;0.394;0.463;0.964;0.986;0.959;0.76;0.509;0.511
ENST00000430762_90_90;0.292;0.291;0.28;0.236;0.368;0.372;0.393;1.0;0.306;0.298;0.296;0.0;0.385;0.0;0.134;0.287;0.397;0.419;0.392;0.27;0.29;0.292
ENST00000323055_90_90;0.948;0.928;0.713;0.663;0.486;0.518;0.516;0.306;1.0;0.949;0.929;0.026;0.71;0.342;0.336;0.417;0.54;0.538;0.508;0.719;0.928;0.948
ENST00000394853_90_90;1.0;0.98;0.7;0.65;0.477;0.508;0.506;0.298;0.949;1.0;0.98;0.025;0.761;0.393;0.321;0.399;0.531;0.529;0.499;0.706;0.98;1.0
ENST00000394854_90_90;0.98;1.0;0.697;0.647;0.475;0.506;0.504;0.296;0.929;0.98;1.0;0.025;0.781;0.413;0.314;0.391;0.529;0.527;0.497;0.703;1.0;0.98
ENST00000492351_90_90;0.014;0.014;0.019;0.019;0.026;0.025;0.025;0.0;0.026;0.025;0.025;1.0;0.0;0.079;0.068;0.053;0.024;0.024;0.025;0.018;0.014;0.014
ENST00000507176_90_90;0.769;0.789;0.489;0.45;0.283;0.314;0.313;0.385;0.71;0.761;0.781;0.0;1.0;0.243;0.176;0.257;0.335;0.333;0.303;0.502;0.789;0.769
ENST00000512215_90_90;0.384;0.404;0.171;0.176;0.22;0.207;0.206;0.0;0.342;0.393;0.413;0.079;0.243;1.0;0.193;0.162;0.201;0.2;0.211;0.165;0.404;0.384
ENST00000525819_90_90;0.314;0.307;0.335;0.34;0.419;0.397;0.394;0.134;0.336;0.321;0.314;0.068;0.176;0.193;1.0;0.824;0.386;0.383;0.406;0.321;0.307;0.314
ENST00000529324_90_90;0.393;0.385;0.394;0.357;0.423;0.466;0.463;0.287;0.417;0.399;0.391;0.053;0.257;0.162;0.824;1.0;0.499;0.496;0.456;0.409;0.385;0.393
ENSMUST00000022355_90_90;0.542;0.54;0.818;0.753;0.936;0.986;0.964;0.397;0.54;0.531;0.529;0.024;0.335;0.201;0.386;0.499;1.0;0.978;0.95;0.785;0.534;0.536
ENSMUST00000159027_90_90;0.54;0.538;0.81;0.739;0.959;0.964;0.986;0.419;0.538;0.529;0.527;0.024;0.333;0.2;0.383;0.496;0.978;1.0;0.972;0.771;0.532;0.534
ENSMUST00000161445_90_90;0.511;0.509;0.797;0.754;0.986;0.936;0.959;0.392;0.508;0.499;0.497;0.025;0.303;0.211;0.406;0.456;0.95;0.972;1.0;0.75;0.503;0.505
ENSMUST00000161989_90_90;0.716;0.713;0.994;0.967;0.739;0.775;0.76;0.27;0.719;0.706;0.703;0.018;0.502;0.165;0.321;0.409;0.785;0.771;0.75;1.0;0.705;0.708
ENSMUST00000056758_90_90;0.98;1.0;0.699;0.65;0.481;0.511;0.509;0.29;0.928;0.98;1.0;0.014;0.789;0.404;0.307;0.385;0.534;0.532;0.503;0.705;1.0;0.98
ENSMUST00000070198_90_90;1.0;0.98;0.702;0.653;0.483;0.513;0.511;0.292;0.948;1.0;0.98;0.014;0.769;0.384;0.314;0.393;0.536;0.534;0.505;0.708;0.98;1.0
