;ENSCAFT00000011194_90_90;ENST00000313726_90_90;ENST00000524757_90_90;ENST00000525169_90_90;ENST00000526057_90_90;ENST00000526062_90_90;ENST00000526099_90_90;ENST00000526126_90_90;ENST00000526155_90_90;ENST00000526241_90_90;ENST00000526757_90_90;ENST00000526828_90_90;ENST00000527347_90_90;ENST00000527392_90_90;ENST00000527473_90_90;ENST00000527510_90_90;ENST00000527516_90_90;ENST00000527930_90_90;ENST00000528196_90_90;ENST00000528523_90_90;ENST00000528527_90_90;ENST00000530338_90_90;ENST00000530438_90_90;ENST00000530580_90_90;ENST00000530593_90_90;ENST00000530938_90_90;ENST00000530959_90_90;ENST00000530991_90_90;ENST00000531060_90_90;ENST00000531093_90_90;ENST00000531578_90_90;ENST00000532734_90_90;ENST00000533016_90_90;ENST00000533020_90_90;ENST00000533225_90_90;ENST00000533471_90_90;ENST00000533580_90_90;ENST00000533681_90_90;ENST00000534127_90_90;ENST00000534248_90_90;ENST00000534278_90_90;ENST00000534665_90_90;ENST00000626808_90_90;ENSMUST00000077909_90_90;ENSMUST00000079282_90_90;ENSMUST00000084738_90_90;ENSMUST00000168005_90_90;ENSMUST00000207394_90_90;ENSMUST00000207745_90_90;ENSMUST00000208583_90_90;ENSMUST00000208734_90_90
ENSCAFT00000011194_90_90;1.0;0.989;0.081;0.045;0.076;0.054;0.515;0.06;0.212;0.247;0.575;0.06;0.189;0.07;0.13;0.153;0.144;0.28;0.176;0.29;0.181;0.069;0.575;0.152;0.216;0.098;0.237;0.463;0.12;0.081;0.021;0.309;0.174;0.308;0.071;0.098;0.227;0.267;0.989;0.202;0.191;0.032;0.309;1.0;1.0;0.615;0.615;0.139;0.044;0.15;0.021
ENST00000313726_90_90;0.989;1.0;0.075;0.043;0.071;0.049;0.528;0.066;0.196;0.229;0.599;0.057;0.174;0.065;0.12;0.152;0.134;0.251;0.174;0.268;0.179;0.074;0.599;0.151;0.229;0.091;0.22;0.485;0.118;0.084;0.02;0.302;0.158;0.327;0.075;0.091;0.205;0.247;1.0;0.188;0.193;0.029;0.302;0.989;0.989;0.579;0.579;0.148;0.045;0.16;0.021
ENST00000524757_90_90;0.081;0.075;1.0;0.599;0.0;0.0;0.0;0.185;0.407;0.352;0.031;0.79;0.457;0.881;0.644;0.11;0.575;0.276;0.102;0.311;0.0;0.0;0.031;0.111;0.0;0.816;0.363;0.0;0.0;0.169;0.316;0.051;0.42;0.0;0.175;0.816;0.335;0.335;0.075;0.421;0.0;0.428;0.051;0.082;0.082;0.033;0.033;0.573;0.219;0.534;0.316
ENST00000525169_90_90;0.045;0.043;0.599;1.0;0.0;0.0;0.0;0.239;0.249;0.216;0.033;0.757;0.279;0.675;0.39;0.127;0.347;0.169;0.116;0.193;0.0;0.0;0.033;0.128;0.0;0.485;0.222;0.0;0.0;0.21;0.5;0.054;0.257;0.0;0.221;0.485;0.204;0.207;0.043;0.257;0.0;0.709;0.054;0.046;0.046;0.035;0.035;0.347;0.307;0.323;0.5
ENST00000526057_90_90;0.076;0.071;0.0;0.0;1.0;0.0;0.133;0.0;0.0;0.0;0.121;0.0;0.0;0.0;0.0;0.203;0.0;0.0;0.309;0.0;0.381;0.0;0.121;0.196;0.295;0.0;0.0;0.154;0.462;0.0;0.0;0.186;0.0;0.211;0.0;0.0;0.0;0.0;0.071;0.0;0.0;0.0;0.186;0.077;0.077;0.137;0.137;0.0;0.0;0.0;0.0
ENST00000526062_90_90;0.054;0.049;0.0;0.0;0.0;1.0;0.087;0.0;0.0;0.0;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08;0.0;0.0;0.0;0.0;0.098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.049;0.0;0.243;0.0;0.0;0.054;0.054;0.092;0.092;0.0;0.0;0.0;0.0
ENST00000526099_90_90;0.515;0.528;0.0;0.0;0.133;0.087;1.0;0.0;0.0;0.0;0.875;0.0;0.0;0.0;0.0;0.145;0.0;0.0;0.181;0.0;0.332;0.133;0.875;0.144;0.425;0.0;0.0;0.888;0.216;0.032;0.0;0.386;0.0;0.604;0.017;0.0;0.0;0.0;0.528;0.0;0.345;0.0;0.386;0.519;0.519;0.879;0.879;0.0;0.0;0.0;0.0
ENST00000526126_90_90;0.06;0.066;0.185;0.239;0.0;0.0;0.0;1.0;0.104;0.092;0.11;0.208;0.113;0.197;0.142;0.445;0.131;0.076;0.397;0.086;0.0;0.0;0.11;0.449;0.0;0.162;0.095;0.0;0.0;0.803;0.309;0.181;0.105;0.0;0.876;0.162;0.088;0.09;0.066;0.105;0.0;0.276;0.181;0.06;0.06;0.102;0.102;0.134;0.748;0.127;0.352
ENST00000526155_90_90;0.212;0.196;0.407;0.249;0.0;0.0;0.0;0.104;1.0;0.863;0.027;0.328;0.89;0.361;0.629;0.075;0.706;0.679;0.071;0.758;0.0;0.0;0.027;0.075;0.0;0.503;0.893;0.0;0.0;0.099;0.137;0.041;0.726;0.0;0.101;0.503;0.825;0.817;0.196;0.964;0.0;0.179;0.041;0.205;0.205;0.028;0.028;0.73;0.115;0.784;0.139
ENST00000526241_90_90;0.247;0.229;0.352;0.216;0.0;0.0;0.0;0.092;0.863;1.0;0.026;0.284;0.768;0.313;0.543;0.069;0.61;0.788;0.066;0.877;0.0;0.0;0.026;0.07;0.0;0.435;0.967;0.0;0.0;0.09;0.119;0.04;0.636;0.0;0.091;0.435;0.844;0.947;0.229;0.832;0.0;0.155;0.04;0.241;0.241;0.027;0.027;0.627;0.102;0.674;0.121
ENST00000526757_90_90;0.575;0.599;0.031;0.033;0.121;0.08;0.875;0.11;0.027;0.026;1.0;0.032;0.027;0.031;0.029;0.258;0.029;0.024;0.294;0.025;0.302;0.12;1.0;0.257;0.387;0.03;0.026;0.807;0.197;0.141;0.033;0.495;0.027;0.549;0.127;0.03;0.026;0.025;0.599;0.027;0.313;0.033;0.495;0.579;0.579;0.981;0.981;0.03;0.077;0.03;0.036
ENST00000526828_90_90;0.06;0.057;0.79;0.757;0.0;0.0;0.0;0.208;0.328;0.284;0.032;1.0;0.368;0.891;0.514;0.117;0.458;0.223;0.107;0.254;0.0;0.0;0.032;0.118;0.0;0.639;0.293;0.0;0.0;0.185;0.38;0.053;0.338;0.0;0.194;0.639;0.269;0.272;0.057;0.339;0.0;0.536;0.053;0.06;0.06;0.034;0.034;0.457;0.256;0.425;0.38
