;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENSCAFT00000014853_90_90;1.0;0.905;0.993;0.181;0.039;0.116;0.017;0.147;0.091;0.137;0.181;0.013;0.221;0.073;0.075;0.863;0.774;0.985;0.942;0.863;0.774;0.985;0.896;0.853;0.015;0.021;0.26;0.272;0.818;0.324;0.094;0.04;0.014
ENST00000323180_90_90;0.905;1.0;0.908;0.198;0.042;0.124;0.018;0.16;0.099;0.147;0.198;0.014;0.218;0.077;0.08;0.774;0.851;0.895;0.853;0.774;0.851;0.895;0.983;0.936;0.016;0.023;0.279;0.291;0.73;0.364;0.099;0.043;0.015
ENST00000418153_90_90;0.993;0.908;1.0;0.185;0.039;0.116;0.017;0.149;0.092;0.137;0.184;0.013;0.221;0.072;0.075;0.861;0.774;0.983;0.941;0.861;0.774;0.983;0.893;0.85;0.015;0.021;0.26;0.27;0.819;0.324;0.093;0.04;0.014
ENST00000524497_90_90;0.181;0.198;0.185;1.0;0.199;0.0;0.085;0.756;0.468;0.0;0.998;0.067;0.0;0.309;0.381;0.192;0.208;0.181;0.189;0.192;0.208;0.181;0.194;0.202;0.077;0.107;0.612;0.054;0.145;0.0;0.523;0.201;0.07
ENST00000525438_90_90;0.039;0.042;0.039;0.199;1.0;0.0;0.425;0.263;0.043;0.0;0.2;0.338;0.0;0.325;0.523;0.044;0.048;0.039;0.04;0.044;0.048;0.039;0.042;0.044;0.388;0.537;0.126;0.0;0.0;0.0;0.372;0.988;0.35
ENST00000525676_90_90;0.116;0.124;0.116;0.0;0.0;1.0;0.0;0.0;0.0;0.233;0.0;0.0;0.492;0.0;0.0;0.13;0.141;0.114;0.119;0.13;0.141;0.114;0.122;0.128;0.0;0.0;0.0;0.0;0.136;0.086;0.0;0.0;0.0
ENST00000527782_90_90;0.017;0.018;0.017;0.085;0.425;0.0;1.0;0.112;0.0;0.0;0.085;0.794;0.0;0.138;0.222;0.019;0.02;0.016;0.017;0.019;0.02;0.016;0.018;0.019;0.912;0.791;0.045;0.0;0.0;0.0;0.158;0.42;0.824
ENST00000529734_90_90;0.147;0.16;0.149;0.756;0.263;0.0;0.112;1.0;0.618;0.0;0.758;0.089;0.0;0.385;0.503;0.166;0.18;0.146;0.152;0.166;0.18;0.146;0.156;0.164;0.102;0.141;0.509;0.0;0.118;0.0;0.582;0.266;0.092
ENST00000529782_90_90;0.091;0.099;0.092;0.468;0.043;0.0;0.0;0.618;1.0;0.0;0.469;0.0;0.0;0.24;0.327;0.102;0.111;0.09;0.093;0.102;0.111;0.09;0.096;0.101;0.0;0.0;0.326;0.0;0.096;0.0;0.434;0.047;0.0
ENST00000530587_90_90;0.137;0.147;0.137;0.0;0.0;0.233;0.0;0.0;0.0;1.0;0.0;0.0;0.291;0.0;0.0;0.154;0.167;0.136;0.141;0.154;0.167;0.136;0.145;0.152;0.0;0.0;0.0;0.0;0.161;0.311;0.0;0.0;0.0
ENST00000531959_90_90;0.181;0.198;0.184;0.998;0.2;0.0;0.085;0.758;0.469;0.0;1.0;0.067;0.0;0.31;0.382;0.192;0.209;0.181;0.188;0.192;0.209;0.181;0.194;0.201;0.077;0.107;0.61;0.053;0.145;0.0;0.525;0.202;0.07
ENST00000532010_90_90;0.013;0.014;0.013;0.067;0.338;0.0;0.794;0.089;0.0;0.0;0.067;1.0;0.0;0.11;0.176;0.015;0.016;0.013;0.014;0.015;0.016;0.013;0.014;0.015;0.871;0.628;0.033;0.0;0.0;0.0;0.126;0.333;0.964
ENST00000532028_90_90;0.221;0.218;0.221;0.0;0.0;0.492;0.0;0.0;0.0;0.291;0.0;0.0;1.0;0.0;0.0;0.247;0.246;0.217;0.226;0.247;0.246;0.217;0.214;0.224;0.0;0.0;0.0;0.0;0.259;0.138;0.0;0.0;0.0
ENST00000532883_90_90;0.073;0.077;0.072;0.309;0.325;0.0;0.138;0.385;0.24;0.0;0.31;0.11;0.0;1.0;0.622;0.082;0.089;0.072;0.075;0.082;0.089;0.072;0.077;0.081;0.126;0.175;0.223;0.0;0.036;0.0;0.511;0.329;0.114
ENST00000533757_90_90;0.075;0.08;0.075;0.381;0.523;0.0;0.222;0.503;0.327;0.0;0.382;0.176;0.0;0.622;1.0;0.084;0.092;0.074;0.077;0.084;0.092;0.074;0.08;0.083;0.203;0.281;0.253;0.0;0.036;0.0;0.712;0.529;0.183
ENSMUST00000044036_90_90;0.863;0.774;0.861;0.192;0.044;0.13;0.019;0.166;0.102;0.154;0.192;0.015;0.247;0.082;0.084;1.0;0.896;0.878;0.836;1.0;0.896;0.878;0.79;0.749;0.017;0.024;0.188;0.148;0.949;0.365;0.106;0.045;0.015
ENSMUST00000068702_90_90;0.774;0.851;0.774;0.208;0.048;0.141;0.02;0.18;0.111;0.167;0.209;0.016;0.246;0.089;0.092;0.896;1.0;0.788;0.747;0.896;1.0;0.788;0.867;0.823;0.019;0.026;0.202;0.157;0.849;0.415;0.115;0.049;0.017
ENSMUST00000090586_90_90;0.985;0.895;0.983;0.181;0.039;0.114;0.016;0.146;0.09;0.136;0.181;0.013;0.217;0.072;0.074;0.878;0.788;1.0;0.958;0.878;0.788;1.0;0.91;0.867;0.015;0.021;0.274;0.268;0.833;0.321;0.093;0.039;0.014
ENSMUST00000111290_90_90;0.942;0.853;0.941;0.189;0.04;0.119;0.017;0.152;0.093;0.141;0.188;0.014;0.226;0.075;0.077;0.836;0.747;0.958;1.0;0.836;0.747;0.958;0.869;0.905;0.016;0.022;0.286;0.28;0.791;0.279;0.097;0.041;0.014
ENSMUST00000111291_90_90;0.863;0.774;0.861;0.192;0.044;0.13;0.019;0.166;0.102;0.154;0.192;0.015;0.247;0.082;0.084;1.0;0.896;0.878;0.836;1.0;0.896;0.878;0.79;0.749;0.017;0.024;0.188;0.148;0.949;0.365;0.106;0.045;0.015
ENSMUST00000111292_90_90;0.774;0.851;0.774;0.208;0.048;0.141;0.02;0.18;0.111;0.167;0.209;0.016;0.246;0.089;0.092;0.896;1.0;0.788;0.747;0.896;1.0;0.788;0.867;0.823;0.019;0.026;0.202;0.157;0.849;0.415;0.115;0.049;0.017
ENSMUST00000111293_90_90;0.985;0.895;0.983;0.181;0.039;0.114;0.016;0.146;0.09;0.136;0.181;0.013;0.217;0.072;0.074;0.878;0.788;1.0;0.958;0.878;0.788;1.0;0.91;0.867;0.015;0.021;0.274;0.268;0.833;0.321;0.093;0.039;0.014
ENSMUST00000111294_90_90;0.896;0.983;0.893;0.194;0.042;0.122;0.018;0.156;0.096;0.145;0.194;0.014;0.214;0.077;0.08;0.79;0.867;0.91;0.869;0.79;0.867;0.91;1.0;0.953;0.016;0.022;0.294;0.288;0.745;0.36;0.1;0.042;0.015
ENSMUST00000111297_90_90;0.853;0.936;0.85;0.202;0.044;0.128;0.019;0.164;0.101;0.152;0.201;0.015;0.224;0.081;0.083;0.749;0.823;0.867;0.905;0.749;0.823;0.867;0.953;1.0;0.017;0.023;0.308;0.302;0.705;0.315;0.105;0.044;0.015
ENSMUST00000128781_90_90;0.015;0.016;0.015;0.077;0.388;0.0;0.912;0.102;0.0;0.0;0.077;0.871;0.0;0.126;0.203;0.017;0.019;0.015;0.016;0.017;0.019;0.015;0.016;0.017;1.0;0.721;0.04;0.0;0.0;0.0;0.144;0.383;0.903
ENSMUST00000138995_90_90;0.021;0.023;0.021;0.107;0.537;0.0;0.791;0.141;0.0;0.0;0.107;0.628;0.0;0.175;0.281;0.024;0.026;0.021;0.022;0.024;0.026;0.021;0.022;0.023;0.721;1.0;0.061;0.0;0.0;0.0;0.2;0.531;0.651
ENSMUST00000159366_90_90;0.26;0.279;0.26;0.612;0.126;0.0;0.045;0.509;0.326;0.0;0.61;0.033;0.0;0.223;0.253;0.188;0.202;0.274;0.286;0.188;0.202;0.274;0.294;0.308;0.04;0.061;1.0;0.245;0.149;0.0;0.313;0.127;0.035
