;ENSCAFT00000007452_90_90;ENSCAFT00000018571_90_90;ENSCAFT00000021391_90_90;ENSCAFT00000021394_90_90;ENSCAFT00000021397_90_90;ENST00000227348_90_90;ENST00000533709_90_90;ENST00000252483_90_90;ENST00000252485_90_90;ENST00000585601_90_90;ENST00000591581_90_90;ENST00000592018_90_90;ENST00000331581_90_90;ENST00000452722_90_90;ENST00000536727_90_90;ENST00000537058_90_90;ENST00000540951_90_90;ENST00000542447_90_90;ENST00000542450_90_90;ENST00000543249_90_90;ENST00000543540_90_90;ENST00000545094_90_90;ENST00000545380_90_90;ENST00000612235_90_90;ENST00000616271_90_90;ENSMUST00000034519_90_90;ENSMUST00000180384_90_90;ENSMUST00000180872_90_90;ENSMUST00000188848_90_90;ENSMUST00000034581_90_90;ENSMUST00000085909_90_90;ENSMUST00000114547_90_90;ENSMUST00000114548_90_90;ENSMUST00000143026_90_90;ENSMUST00000152459_90_90;ENSMUST00000214542_90_90;ENSMUST00000075447_90_90;ENSMUST00000108450_90_90
ENSCAFT00000007452_90_90;1.0;0.814;0.72;0.719;0.712;0.736;0.374;0.994;0.795;0.045;0.362;0.06;0.75;0.709;0.706;0.726;0.0;0.665;0.274;0.271;0.189;0.289;0.665;0.607;0.734;0.617;0.616;0.621;0.605;0.666;0.726;0.71;0.682;0.6;0.75;0.0;0.994;0.791
ENSCAFT00000018571_90_90;0.814;1.0;0.81;0.839;0.814;0.822;0.508;0.811;0.849;0.05;0.452;0.0;0.853;0.794;0.796;0.82;0.0;0.738;0.325;0.284;0.241;0.308;0.738;0.687;0.851;0.654;0.653;0.676;0.644;0.738;0.82;0.795;0.763;0.657;0.853;0.0;0.808;0.848
ENSCAFT00000021391_90_90;0.72;0.81;1.0;0.811;0.869;0.809;0.298;0.713;0.737;0.0;0.302;0.0;0.942;0.948;0.901;0.974;0.077;0.906;0.298;0.364;0.223;0.385;0.901;0.758;0.899;0.713;0.73;0.634;0.724;0.907;0.974;0.948;0.934;0.824;0.942;0.086;0.71;0.735
ENSCAFT00000021394_90_90;0.719;0.839;0.811;1.0;0.875;0.855;0.333;0.714;0.741;0.0;0.302;0.0;0.883;0.824;0.822;0.849;0.0;0.762;0.319;0.402;0.238;0.424;0.766;0.747;0.917;0.615;0.631;0.708;0.625;0.758;0.845;0.819;0.784;0.68;0.878;0.0;0.709;0.738
ENSCAFT00000021397_90_90;0.712;0.814;0.869;0.875;1.0;0.748;0.283;0.706;0.732;0.0;0.291;0.0;0.855;0.911;0.815;0.885;0.0;0.867;0.329;0.414;0.245;0.438;0.871;0.859;0.958;0.619;0.636;0.714;0.63;0.861;0.88;0.904;0.838;0.777;0.851;0.0;0.701;0.728
ENST00000227348_90_90;0.736;0.822;0.809;0.855;0.748;1.0;0.389;0.729;0.742;0.055;0.345;0.0;0.859;0.792;0.803;0.821;0.042;0.738;0.293;0.424;0.222;0.452;0.738;0.619;0.786;0.699;0.721;0.688;0.712;0.738;0.821;0.793;0.766;0.655;0.859;0.043;0.723;0.736
ENST00000533709_90_90;0.374;0.508;0.298;0.333;0.283;0.389;1.0;0.388;0.398;0.114;0.902;0.0;0.347;0.282;0.283;0.309;0.0;0.217;0.0;0.0;0.0;0.0;0.217;0.142;0.324;0.0;0.0;0.0;0.0;0.217;0.309;0.282;0.245;0.135;0.347;0.0;0.399;0.41
ENST00000252483_90_90;0.994;0.811;0.713;0.714;0.706;0.729;0.388;1.0;0.669;0.043;0.349;0.059;0.742;0.701;0.698;0.719;0.0;0.655;0.269;0.266;0.199;0.284;0.656;0.597;0.73;0.608;0.608;0.619;0.596;0.656;0.72;0.702;0.673;0.588;0.744;0.0;1.0;0.675
ENST00000252485_90_90;0.795;0.849;0.737;0.741;0.732;0.742;0.398;0.669;1.0;0.082;0.401;0.0;0.768;0.724;0.722;0.742;0.0;0.677;0.278;0.274;0.206;0.293;0.678;0.619;0.758;0.62;0.619;0.633;0.607;0.677;0.742;0.724;0.695;0.605;0.768;0.0;0.675;1.0
ENST00000585601_90_90;0.045;0.05;0.0;0.0;0.0;0.055;0.114;0.043;0.082;1.0;0.109;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.045;0.085
ENST00000591581_90_90;0.362;0.452;0.302;0.302;0.291;0.345;0.902;0.349;0.401;0.109;1.0;0.0;0.338;0.288;0.286;0.308;0.0;0.236;0.0;0.0;0.0;0.0;0.237;0.164;0.319;0.0;0.0;0.0;0.0;0.237;0.308;0.288;0.257;0.159;0.338;0.0;0.359;0.42
