;transcript5_ENSHGLG00100003156;transcript18_ENSHGLG00100003156;transcript33_ENSHGLG00100003156;transcript34_ENSHGLG00100003156;transcript35_ENSHGLG00100003156;transcript36_ENSHGLG00100003156;transcript5_ENSHGLG00100006079;transcript30_ENSHGLG00100006079;transcript5_ENSPCIG00000036398;transcript5_ENSXMAG00000026005;transcript7_ENSXMAG00000026005
transcript5_ENSHGLG00100003156;1.0;1.0;0.735;0.867;0.885;0.928;1.0;0.726;0.988;1.0;1.0
transcript18_ENSHGLG00100003156;1.0;1.0;0.735;0.867;0.885;0.928;1.0;0.726;0.988;1.0;1.0
transcript33_ENSHGLG00100003156;0.735;0.735;1.0;0.684;0.711;0.792;0.712;0.458;0.72;0.732;0.732
transcript34_ENSHGLG00100003156;0.867;0.867;0.684;1.0;0.759;0.795;0.849;0.575;0.854;0.866;0.866
transcript35_ENSHGLG00100003156;0.885;0.885;0.711;0.759;1.0;0.904;0.932;0.729;0.927;0.927;0.927
transcript36_ENSHGLG00100003156;0.928;0.928;0.792;0.795;0.904;1.0;0.932;0.681;0.915;0.927;0.927
transcript5_ENSHGLG00100006079;1.0;1.0;0.712;0.849;0.932;0.932;1.0;0.726;1.0;1.0;1.0
transcript30_ENSHGLG00100006079;0.726;0.726;0.458;0.575;0.729;0.681;0.726;1.0;0.732;0.722;0.722
transcript5_ENSPCIG00000036398;0.988;0.988;0.72;0.854;0.927;0.915;1.0;0.732;1.0;1.0;1.0
transcript5_ENSXMAG00000026005;1.0;1.0;0.732;0.866;0.927;0.927;1.0;0.722;1.0;1.0;1.0
transcript7_ENSXMAG00000026005;1.0;1.0;0.732;0.866;0.927;0.927;1.0;0.722;1.0;1.0;1.0
