;ENSCAFT00000017733_90_90;ENST00000283256_90_90;ENST00000375427_90_90;ENST00000375437_90_90;ENST00000424833_90_90;ENST00000486878_90_90;ENST00000631182_90_90;ENST00000636071_90_90;ENST00000636135_90_90;ENST00000636384_90_90;ENST00000636662_90_90;ENST00000636769_90_90;ENST00000636985_90_90;ENST00000637266_90_90;ENST00000637367_90_90;ENSMUST00000028377_90_90;ENSMUST00000100067_90_90;ENSMUST00000144254_90_90;ENSMUST00000200829_90_90;ENSMUST00000202162_90_90;ENSMUST00000202508_90_90
ENSCAFT00000017733_90_90;1.0;0.944;0.842;0.944;0.5;0.211;0.842;0.842;0.526;0.684;0.053;0.684;0.833;0.944;0.053;0.895;0.895;0.444;1.0;0.053;0.105
ENST00000283256_90_90;0.944;1.0;0.889;1.0;0.529;0.222;0.889;0.889;0.556;0.722;0.056;0.722;0.882;1.0;0.056;0.842;0.842;0.471;0.944;0.056;0.111
ENST00000375427_90_90;0.842;0.889;1.0;0.889;0.444;0.158;1.0;1.0;0.474;0.632;0.056;0.632;0.778;0.889;0.056;0.944;0.944;0.389;0.842;0.056;0.111
ENST00000375437_90_90;0.944;1.0;0.889;1.0;0.529;0.222;0.889;0.889;0.556;0.722;0.056;0.722;0.882;1.0;0.056;0.842;0.842;0.471;0.944;0.056;0.111
ENST00000424833_90_90;0.5;0.529;0.444;0.529;1.0;0.4;0.444;0.444;0.667;0.643;0.1;0.643;0.412;0.529;0.1;0.421;0.421;0.889;0.5;0.0;0.0
ENST00000486878_90_90;0.211;0.222;0.158;0.222;0.4;1.0;0.158;0.158;0.231;0.267;0.0;0.267;0.25;0.222;0.0;0.15;0.15;0.444;0.211;0.0;0.0
ENST00000631182_90_90;0.842;0.889;1.0;0.889;0.444;0.158;1.0;1.0;0.474;0.632;0.056;0.632;0.778;0.889;0.056;0.944;0.944;0.389;0.842;0.056;0.111
ENST00000636071_90_90;0.842;0.889;1.0;0.889;0.444;0.158;1.0;1.0;0.474;0.632;0.056;0.632;0.778;0.889;0.056;0.944;0.944;0.389;0.842;0.056;0.111
ENST00000636135_90_90;0.526;0.556;0.474;0.556;0.667;0.231;0.474;0.474;1.0;0.667;0.083;0.667;0.444;0.556;0.083;0.45;0.45;0.583;0.526;0.0;0.0
ENST00000636384_90_90;0.684;0.722;0.632;0.722;0.643;0.267;0.632;0.632;0.667;1.0;0.067;0.867;0.611;0.722;0.067;0.6;0.6;0.571;0.684;0.0;0.0
ENST00000636662_90_90;0.053;0.056;0.056;0.056;0.1;0.0;0.056;0.056;0.083;0.067;1.0;0.067;0.0;0.056;1.0;0.053;0.053;0.111;0.053;0.0;0.0
ENST00000636769_90_90;0.684;0.722;0.632;0.722;0.643;0.267;0.632;0.632;0.667;0.867;0.067;1.0;0.611;0.722;0.067;0.6;0.6;0.571;0.684;0.0;0.0
ENST00000636985_90_90;0.833;0.882;0.778;0.882;0.412;0.25;0.778;0.778;0.444;0.611;0.0;0.611;1.0;0.882;0.0;0.737;0.737;0.353;0.833;0.062;0.125
ENST00000637266_90_90;0.944;1.0;0.889;1.0;0.529;0.222;0.889;0.889;0.556;0.722;0.056;0.722;0.882;1.0;0.056;0.842;0.842;0.471;0.944;0.056;0.111
ENST00000637367_90_90;0.053;0.056;0.056;0.056;0.1;0.0;0.056;0.056;0.083;0.067;1.0;0.067;0.0;0.056;1.0;0.053;0.053;0.111;0.053;0.0;0.0
ENSMUST00000028377_90_90;0.895;0.842;0.944;0.842;0.421;0.15;0.944;0.944;0.45;0.6;0.053;0.6;0.737;0.842;0.053;1.0;1.0;0.368;0.895;0.053;0.105
ENSMUST00000100067_90_90;0.895;0.842;0.944;0.842;0.421;0.15;0.944;0.944;0.45;0.6;0.053;0.6;0.737;0.842;0.053;1.0;1.0;0.368;0.895;0.053;0.105
ENSMUST00000144254_90_90;0.444;0.471;0.389;0.471;0.889;0.444;0.389;0.389;0.583;0.571;0.111;0.571;0.353;0.471;0.111;0.368;0.368;1.0;0.444;0.0;0.0
ENSMUST00000200829_90_90;1.0;0.944;0.842;0.944;0.5;0.211;0.842;0.842;0.526;0.684;0.053;0.684;0.833;0.944;0.053;0.895;0.895;0.444;1.0;0.053;0.105
ENSMUST00000202162_90_90;0.053;0.056;0.056;0.056;0.0;0.0;0.056;0.056;0.0;0.0;0.0;0.0;0.062;0.056;0.0;0.053;0.053;0.0;0.053;1.0;0.667
ENSMUST00000202508_90_90;0.105;0.111;0.111;0.111;0.0;0.0;0.111;0.111;0.0;0.0;0.0;0.0;0.125;0.111;0.0;0.105;0.105;0.0;0.105;0.667;1.0
