;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript10_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947
transcript6_ENSMPUG00000020072;1.0;0.916;0.566;0.539;0.89;0.998;0.896;0.868;0.631;0.819;0.821;0.916;0.631;0.631;0.812;0.868
transcript6_ENSECAG00000007947;0.916;1.0;0.52;0.566;0.819;0.915;0.978;0.947;0.671;0.888;0.891;1.0;0.671;0.671;0.88;0.947
transcript8_ENSMPUG00000020072;0.566;0.52;1.0;0.922;0.516;0.565;0.541;0.524;0.432;0.473;0.476;0.52;0.432;0.432;0.466;0.524
transcript8_ENSECAG00000007947;0.539;0.566;0.922;1.0;0.492;0.538;0.587;0.569;0.459;0.509;0.512;0.566;0.459;0.459;0.501;0.569
transcript10_ENSMPUG00000020072;0.89;0.819;0.516;0.492;1.0;0.889;0.84;0.866;0.581;0.916;0.918;0.819;0.581;0.581;0.81;0.866
transcript13_ENSMPUG00000020072;0.998;0.915;0.565;0.538;0.889;1.0;0.895;0.867;0.631;0.817;0.82;0.915;0.631;0.631;0.811;0.867
transcript4_ENSECAG00000007947;0.896;0.978;0.541;0.587;0.84;0.895;1.0;0.968;0.693;0.909;0.912;0.978;0.693;0.693;0.901;0.968
transcript7_ENSECAG00000007947;0.868;0.947;0.524;0.569;0.866;0.867;0.968;1.0;0.671;0.94;0.943;0.947;0.671;0.671;0.932;1.0
transcript14_ENSECAG00000007947;0.631;0.671;0.432;0.459;0.581;0.631;0.693;0.671;1.0;0.612;0.614;0.671;1.0;1.0;0.604;0.671
transcript15_ENSECAG00000007947;0.819;0.888;0.473;0.509;0.916;0.817;0.909;0.94;0.612;1.0;0.997;0.888;0.612;0.612;0.873;0.94
transcript16_ENSECAG00000007947;0.821;0.891;0.476;0.512;0.918;0.82;0.912;0.943;0.614;0.997;1.0;0.891;0.614;0.614;0.875;0.943
transcript17_ENSECAG00000007947;0.916;1.0;0.52;0.566;0.819;0.915;0.978;0.947;0.671;0.888;0.891;1.0;0.671;0.671;0.88;0.947
transcript18_ENSECAG00000007947;0.631;0.671;0.432;0.459;0.581;0.631;0.693;0.671;1.0;0.612;0.614;0.671;1.0;1.0;0.604;0.671
transcript19_ENSECAG00000007947;0.631;0.671;0.432;0.459;0.581;0.631;0.693;0.671;1.0;0.612;0.614;0.671;1.0;1.0;0.604;0.671
transcript20_ENSECAG00000007947;0.812;0.88;0.466;0.501;0.81;0.811;0.901;0.932;0.604;0.873;0.875;0.88;0.604;0.604;1.0;0.932
transcript21_ENSECAG00000007947;0.868;0.947;0.524;0.569;0.866;0.867;0.968;1.0;0.671;0.94;0.943;0.947;0.671;0.671;0.932;1.0
