;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237;transcript47_MGP-CAROLIEiJ-G0020234
transcript8_ENSMSIG00000000513;1.0;0.193;0.194;0.2;0.206;0.208;0.154;0.169;0.169;0.166;0.166;0.141;0.149;0.147
transcript49_ENSMSIG00000000513;0.193;1.0;0.999;0.914;0.884;0.874;0.791;0.742;0.78;0.71;0.713;0.701;0.722;0.723
transcript49_MGP-SPRETEiJ-G0021131;0.194;0.999;1.0;0.913;0.882;0.872;0.792;0.742;0.781;0.71;0.713;0.7;0.721;0.722
transcript60_ENSMSIG00000000513;0.2;0.914;0.913;1.0;0.948;0.938;0.732;0.683;0.718;0.715;0.717;0.727;0.749;0.761
transcript61_ENSMSIG00000000513;0.206;0.884;0.882;0.948;1.0;0.989;0.708;0.658;0.693;0.676;0.679;0.7;0.722;0.722
transcript62_ENSMSIG00000000513;0.208;0.874;0.872;0.938;0.989;1.0;0.699;0.65;0.699;0.668;0.671;0.693;0.714;0.715
transcript40_MGP-SPRETEiJ-G0021131;0.154;0.791;0.792;0.732;0.708;0.699;1.0;0.909;0.905;0.911;0.914;0.887;0.911;0.916
transcript65_MGP-SPRETEiJ-G0021131;0.169;0.742;0.742;0.683;0.658;0.65;0.909;1.0;0.844;0.824;0.827;0.805;0.828;0.832
transcript66_MGP-SPRETEiJ-G0021131;0.169;0.78;0.781;0.718;0.693;0.699;0.905;0.844;1.0;0.82;0.823;0.802;0.825;0.828
transcript7_ENSMUSG00000054036;0.166;0.71;0.71;0.715;0.676;0.668;0.911;0.824;0.82;1.0;0.997;0.863;0.887;0.903
transcript46_ENSMUSG00000054036;0.166;0.713;0.713;0.717;0.679;0.671;0.914;0.827;0.823;0.997;1.0;0.866;0.89;0.906
transcript38_MGP-CAROLIEiJ-G0020234;0.141;0.701;0.7;0.727;0.7;0.693;0.887;0.805;0.802;0.863;0.866;1.0;0.972;0.954
transcript38_MGP-PahariEiJ-G0020237;0.149;0.722;0.721;0.749;0.722;0.714;0.911;0.828;0.825;0.887;0.89;0.972;1.0;0.928
transcript47_MGP-CAROLIEiJ-G0020234;0.147;0.723;0.722;0.761;0.722;0.715;0.916;0.832;0.828;0.903;0.906;0.954;0.928;1.0
