;ENSCAFT00000023830_90_90;ENST00000318386_90_90;ENST00000429429_90_90;ENST00000480936_90_90;ENST00000483348_90_90;ENST00000488267_90_90;ENST00000489418_90_90;ENSMUST00000057551_90_90;ENSMUST00000075670_90_90;ENSMUST00000101354_90_90;ENSMUST00000139518_90_90;ENSMUST00000151081_90_90
ENSCAFT00000023830_90_90;1.0;0.933;0.733;0.4;0.733;0.733;0.867;1.0;0.929;0.929;0.714;0.286
ENST00000318386_90_90;0.933;1.0;0.765;0.389;0.526;0.706;0.882;1.0;0.929;0.929;0.786;0.286
ENST00000429429_90_90;0.733;0.765;1.0;0.4;0.471;0.667;0.867;0.786;0.714;0.714;0.571;0.25
ENST00000480936_90_90;0.4;0.389;0.4;1.0;0.25;0.25;0.438;0.429;0.462;0.357;0.545;0.429
ENST00000483348_90_90;0.733;0.526;0.471;0.25;1.0;0.714;0.588;0.643;0.571;0.571;0.429;0.182
ENST00000488267_90_90;0.733;0.706;0.667;0.25;0.714;1.0;0.8;0.786;0.714;0.714;0.571;0.154
ENST00000489418_90_90;0.867;0.882;0.867;0.438;0.588;0.8;1.0;0.929;0.857;0.857;0.714;0.214
ENSMUST00000057551_90_90;1.0;1.0;0.786;0.429;0.643;0.786;0.929;1.0;0.889;0.941;0.667;0.235
ENSMUST00000075670_90_90;0.929;0.929;0.714;0.462;0.571;0.714;0.857;0.889;1.0;0.833;0.667;0.235
ENSMUST00000101354_90_90;0.929;0.929;0.714;0.357;0.571;0.714;0.857;0.941;0.833;1.0;0.611;0.176
ENSMUST00000139518_90_90;0.714;0.786;0.571;0.545;0.429;0.571;0.714;0.667;0.667;0.611;1.0;0.308
ENSMUST00000151081_90_90;0.286;0.286;0.25;0.429;0.182;0.154;0.214;0.235;0.235;0.176;0.308;1.0
