;ENSCAFT00000026865_90_90;ENST00000355560_90_90;ENST00000361168_90_90;ENST00000368361_90_90;ENSMUST00000090927_90_90;ENSMUST00000121212_90_90;ENSMUST00000121931_90_90;ENSMUST00000128318_90_90;ENSMUST00000148265_90_90;ENSMUST00000152205_90_90
ENSCAFT00000026865_90_90;1.0;0.812;0.814;0.815;0.814;0.815;0.817;0.222;0.408;0.093
ENST00000355560_90_90;0.812;1.0;0.998;0.996;0.998;0.996;0.994;0.271;0.499;0.114
ENST00000361168_90_90;0.814;0.998;1.0;0.998;0.996;0.998;0.996;0.273;0.501;0.114
ENST00000368361_90_90;0.815;0.996;0.998;1.0;0.994;0.996;0.998;0.273;0.5;0.114
ENSMUST00000090927_90_90;0.814;0.998;0.996;0.994;1.0;0.998;0.996;0.271;0.498;0.114
ENSMUST00000121212_90_90;0.815;0.996;0.998;0.996;0.998;1.0;0.998;0.273;0.5;0.114
ENSMUST00000121931_90_90;0.817;0.994;0.996;0.998;0.996;0.998;1.0;0.272;0.499;0.113
ENSMUST00000128318_90_90;0.222;0.271;0.273;0.273;0.271;0.273;0.272;1.0;0.545;0.417
ENSMUST00000148265_90_90;0.408;0.499;0.501;0.5;0.498;0.5;0.499;0.545;1.0;0.227
ENSMUST00000152205_90_90;0.093;0.114;0.114;0.114;0.114;0.114;0.113;0.417;0.227;1.0
