;ENSCAFT00000012435_90_90;ENST00000278422_90_90;ENST00000378312_90_90;ENST00000524972_90_90;ENST00000525035_90_90;ENST00000528110_90_90;ENST00000529403_90_90;ENST00000530114_90_90;ENST00000533602_90_90;ENSMUST00000053664_90_90;ENSMUST00000111664_90_90;ENSMUST00000111665_90_90;ENSMUST00000152149_90_90
ENSCAFT00000012435_90_90;1.0;0.923;0.769;0.231;0.308;0.231;0.308;0.231;0.154;1.0;0.846;1.0;0.077
ENST00000278422_90_90;0.923;1.0;0.857;0.286;0.25;0.286;0.25;0.286;0.2;0.917;0.75;0.917;0.091
ENST00000378312_90_90;0.769;0.857;1.0;0.333;0.2;0.333;0.2;0.333;0.231;0.75;0.9;0.75;0.111
ENST00000524972_90_90;0.231;0.286;0.333;1.0;0.429;1.0;0.429;0.6;0.6;0.25;0.3;0.25;0.333
ENST00000525035_90_90;0.308;0.25;0.2;0.429;1.0;0.429;1.0;0.429;0.429;0.333;0.273;0.333;0.25
ENST00000528110_90_90;0.231;0.286;0.333;1.0;0.429;1.0;0.429;0.6;0.6;0.25;0.3;0.25;0.333
ENST00000529403_90_90;0.308;0.25;0.2;0.429;1.0;0.429;1.0;0.429;0.429;0.333;0.273;0.333;0.25
ENST00000530114_90_90;0.231;0.286;0.333;0.6;0.429;0.6;0.429;1.0;0.6;0.25;0.3;0.25;0.333
ENST00000533602_90_90;0.154;0.2;0.231;0.6;0.429;0.6;0.429;0.6;1.0;0.167;0.2;0.167;0.5
ENSMUST00000053664_90_90;1.0;0.917;0.75;0.25;0.333;0.25;0.333;0.25;0.167;1.0;0.846;1.0;0.077
ENSMUST00000111664_90_90;0.846;0.75;0.9;0.3;0.273;0.3;0.273;0.3;0.2;0.846;1.0;0.846;0.091
ENSMUST00000111665_90_90;1.0;0.917;0.75;0.25;0.333;0.25;0.333;0.25;0.167;1.0;0.846;1.0;0.077
ENSMUST00000152149_90_90;0.077;0.091;0.111;0.333;0.25;0.333;0.25;0.333;0.5;0.077;0.091;0.077;1.0
