;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENSCAFT00000000383_90_90;1.0;0.976;0.934;0.934;0.937;0.794;0.987;0.785;0.792;0.803;0.99;0.794;0.136;0.128;0.468;0.202;0.794;0.725;0.989;0.936;0.987;0.795;0.019;0.793;0.626
ENSCAFT00000035671_90_90;0.976;1.0;0.911;0.911;0.913;0.774;0.964;0.765;0.772;0.78;0.966;0.774;0.137;0.122;0.45;0.203;0.774;0.706;0.966;0.913;0.963;0.775;0.02;0.772;0.62
ENST00000353331_90_90;0.934;0.911;1.0;1.0;0.998;0.835;0.947;0.831;0.837;0.757;0.945;0.835;0.145;0.136;0.495;0.15;0.835;0.764;0.939;0.991;0.941;0.83;0.021;0.832;0.666
ENST00000392348_90_90;0.934;0.911;1.0;1.0;0.998;0.835;0.947;0.831;0.837;0.757;0.945;0.835;0.145;0.136;0.495;0.15;0.835;0.764;0.939;0.991;0.941;0.83;0.021;0.832;0.666
ENST00000527536_90_90;0.937;0.913;0.998;0.998;1.0;0.837;0.945;0.833;0.835;0.759;0.947;0.837;0.144;0.135;0.494;0.149;0.837;0.766;0.941;0.994;0.939;0.832;0.02;0.83;0.665
ENST00000527613_90_90;0.794;0.774;0.835;0.835;0.837;1.0;0.791;0.965;0.997;0.608;0.793;1.0;0.0;0.157;0.57;0.031;1.0;0.884;0.788;0.831;0.786;0.994;0.024;0.991;0.507
ENST00000527759_90_90;0.987;0.964;0.947;0.947;0.945;0.791;1.0;0.787;0.793;0.81;0.998;0.791;0.137;0.129;0.469;0.203;0.791;0.724;0.992;0.939;0.994;0.787;0.019;0.788;0.631
ENST00000529826_90_90;0.785;0.765;0.831;0.831;0.833;0.965;0.787;1.0;0.962;0.601;0.789;0.965;0.0;0.163;0.59;0.017;0.965;0.913;0.783;0.827;0.781;0.959;0.024;0.956;0.498
ENST00000530429_90_90;0.792;0.772;0.837;0.837;0.835;0.997;0.793;0.962;1.0;0.606;0.791;0.997;0.0;0.157;0.571;0.031;0.997;0.881;0.786;0.829;0.787;0.991;0.024;0.994;0.508
ENST00000530767_90_90;0.803;0.78;0.757;0.757;0.759;0.608;0.81;0.601;0.606;1.0;0.812;0.608;0.168;0.137;0.573;0.249;0.608;0.542;0.806;0.753;0.804;0.603;0.024;0.601;0.442
ENST00000531224_90_90;0.99;0.966;0.945;0.945;0.947;0.793;0.998;0.789;0.791;0.812;1.0;0.793;0.137;0.128;0.468;0.203;0.793;0.726;0.994;0.941;0.992;0.789;0.019;0.787;0.63
ENST00000532384_90_90;0.794;0.774;0.835;0.835;0.837;1.0;0.791;0.965;0.997;0.608;0.793;1.0;0.0;0.157;0.57;0.031;1.0;0.884;0.788;0.831;0.786;0.994;0.024;0.991;0.507
ENST00000533422_90_90;0.136;0.137;0.145;0.145;0.144;0.0;0.137;0.0;0.0;0.168;0.137;0.0;1.0;0.0;0.0;0.539;0.0;0.0;0.137;0.144;0.137;0.0;0.0;0.0;0.216
ENST00000533621_90_90;0.128;0.122;0.136;0.136;0.135;0.157;0.129;0.163;0.157;0.137;0.128;0.157;0.0;1.0;0.217;0.0;0.157;0.168;0.127;0.134;0.127;0.156;0.0;0.156;0.144
ENST00000534269_90_90;0.468;0.45;0.495;0.495;0.494;0.57;0.469;0.59;0.571;0.573;0.468;0.57;0.0;0.217;1.0;0.0;0.57;0.608;0.466;0.491;0.467;0.567;0.092;0.568;0.174
ENST00000534762_90_90;0.202;0.203;0.15;0.15;0.149;0.031;0.203;0.017;0.031;0.249;0.203;0.031;0.539;0.0;0.0;1.0;0.031;0.0;0.203;0.149;0.203;0.031;0.0;0.031;0.217
ENST00000628517_90_90;0.794;0.774;0.835;0.835;0.837;1.0;0.791;0.965;0.997;0.608;0.793;1.0;0.0;0.157;0.57;0.031;1.0;0.884;0.788;0.831;0.786;0.994;0.024;0.991;0.507
