;ENSCAFT00000006937_90_90;ENST00000422453_90_90;ENST00000441626_90_90;ENST00000446936_90_90;ENST00000451728_90_90;ENST00000500450_90_90;ENST00000502976_90_90;ENST00000504813_90_90;ENST00000512338_90_90;ENSMUST00000032138_90_90;ENSMUST00000113617_90_90;ENSMUST00000113619_90_90;ENSMUST00000204653_90_90;ENSMUST00000204890_90_90
ENSCAFT00000006937_90_90;1.0;0.989;0.996;0.957;0.994;0.894;0.95;0.933;0.587;1.0;0.994;0.955;0.994;0.961
ENST00000422453_90_90;0.989;1.0;0.989;0.95;0.994;0.904;0.96;0.944;0.549;0.993;0.998;0.959;0.998;0.964
ENST00000441626_90_90;0.996;0.989;1.0;0.961;0.994;0.894;0.95;0.933;0.56;1.0;0.994;0.955;0.994;0.961
ENST00000446936_90_90;0.957;0.95;0.961;1.0;0.955;0.93;0.988;0.894;0.572;0.961;0.955;0.994;0.955;0.988
ENST00000451728_90_90;0.994;0.994;0.994;0.955;1.0;0.899;0.955;0.938;0.554;0.998;0.993;0.953;0.993;0.959
ENST00000500450_90_90;0.894;0.904;0.894;0.93;0.899;1.0;0.941;0.958;0.506;0.897;0.902;0.939;0.902;0.934
ENST00000502976_90_90;0.95;0.96;0.95;0.988;0.955;0.941;1.0;0.904;0.561;0.953;0.959;0.998;0.959;0.992
ENST00000504813_90_90;0.933;0.944;0.933;0.894;0.938;0.958;0.904;1.0;0.496;0.936;0.942;0.902;0.942;0.908
ENST00000512338_90_90;0.587;0.549;0.56;0.572;0.554;0.506;0.561;0.496;1.0;0.584;0.579;0.593;0.579;0.599
ENSMUST00000032138_90_90;1.0;0.993;1.0;0.961;0.998;0.897;0.953;0.936;0.584;1.0;0.994;0.955;0.994;0.961
ENSMUST00000113617_90_90;0.994;0.998;0.994;0.955;0.993;0.902;0.959;0.942;0.579;0.994;1.0;0.96;1.0;0.966
ENSMUST00000113619_90_90;0.955;0.959;0.955;0.994;0.953;0.939;0.998;0.902;0.593;0.955;0.96;1.0;0.96;0.994
ENSMUST00000204653_90_90;0.994;0.998;0.994;0.955;0.993;0.902;0.959;0.942;0.579;0.994;1.0;0.96;1.0;0.966
ENSMUST00000204890_90_90;0.961;0.964;0.961;0.988;0.959;0.934;0.992;0.908;0.599;0.961;0.966;0.994;0.966;1.0
