;ENSCAFT00000004367_90_90;ENSCAFT00000004373_90_90;ENST00000333896_90_90;ENST00000356805_90_90;ENST00000389980_90_90;ENST00000615901_90_90;ENSMUST00000006629_90_90;ENSMUST00000011877_90_90;ENSMUST00000102838_90_90;ENSMUST00000124231_90_90
ENSCAFT00000004367_90_90;1.0;0.75;0.727;1.0;0.2;0.9;1.0;1.0;0.7;0.667
ENSCAFT00000004373_90_90;0.75;1.0;0.9;0.818;0.091;0.727;0.8;0.8;0.889;0.5
ENST00000333896_90_90;0.727;0.9;1.0;0.615;0.083;0.467;0.636;0.636;1.0;0.5
ENST00000356805_90_90;1.0;0.818;0.615;1.0;0.273;0.769;1.0;1.0;0.636;0.667
ENST00000389980_90_90;0.2;0.091;0.083;0.273;1.0;0.25;0.222;0.222;0.1;0.333
ENST00000615901_90_90;0.9;0.727;0.467;0.769;0.25;1.0;0.889;0.889;0.545;0.556
ENSMUST00000006629_90_90;1.0;0.8;0.636;1.0;0.222;0.889;1.0;1.0;0.583;0.7
ENSMUST00000011877_90_90;1.0;0.8;0.636;1.0;0.222;0.889;1.0;1.0;0.583;0.7
ENSMUST00000102838_90_90;0.7;0.889;1.0;0.636;0.1;0.545;0.583;0.583;1.0;0.455
ENSMUST00000124231_90_90;0.667;0.5;0.5;0.667;0.333;0.556;0.7;0.7;0.455;1.0
