;ENSCAFT00000020369_90_90;ENST00000281171_90_90;ENST00000348962_90_90;ENST00000442921_90_90;ENST00000445537_90_90;ENST00000535311_90_90;ENST00000535322_90_90;ENST00000542557_90_90;ENST00000543886_90_90;ENST00000544244_90_90;ENSMUST00000077115_90_90;ENSMUST00000167002_90_90;ENSMUST00000167679_90_90;ENSMUST00000203914_90_90
ENSCAFT00000020369_90_90;1.0;1.0;0.929;0.571;0.571;0.143;0.071;0.5;0.286;0.5;1.0;0.571;0.929;0.5
ENST00000281171_90_90;1.0;1.0;0.933;0.533;0.533;0.133;0.062;0.467;0.25;0.467;1.0;0.533;0.933;0.467
ENST00000348962_90_90;0.929;0.933;1.0;0.467;0.467;0.143;0.067;0.5;0.267;0.5;0.933;0.467;1.0;0.5
ENST00000442921_90_90;0.571;0.533;0.467;1.0;1.0;0.111;0.111;0.875;0.083;0.875;0.533;1.0;0.467;0.875
ENST00000445537_90_90;0.571;0.533;0.467;1.0;1.0;0.111;0.111;0.875;0.083;0.875;0.533;1.0;0.467;0.875
ENST00000535311_90_90;0.143;0.133;0.143;0.111;0.111;1.0;0.0;0.125;0.0;0.125;0.133;0.111;0.143;0.125
ENST00000535322_90_90;0.071;0.062;0.067;0.111;0.111;0.0;1.0;0.125;0.0;0.125;0.067;0.125;0.071;0.143
ENST00000542557_90_90;0.5;0.467;0.5;0.875;0.875;0.125;0.125;1.0;0.091;1.0;0.467;0.875;0.5;1.0
ENST00000543886_90_90;0.286;0.25;0.267;0.083;0.083;0.0;0.0;0.091;1.0;0.091;0.267;0.091;0.286;0.1
ENST00000544244_90_90;0.5;0.467;0.5;0.875;0.875;0.125;0.125;1.0;0.091;1.0;0.467;0.875;0.5;1.0
ENSMUST00000077115_90_90;1.0;1.0;0.933;0.533;0.533;0.133;0.067;0.467;0.267;0.467;1.0;0.471;0.941;0.412
ENSMUST00000167002_90_90;0.571;0.533;0.467;1.0;1.0;0.111;0.125;0.875;0.091;0.875;0.471;1.0;0.412;0.875
ENSMUST00000167679_90_90;0.929;0.933;1.0;0.467;0.467;0.143;0.071;0.5;0.286;0.5;0.941;0.412;1.0;0.438
ENSMUST00000203914_90_90;0.5;0.467;0.5;0.875;0.875;0.125;0.143;1.0;0.1;1.0;0.412;0.875;0.438;1.0
