;ENSCAFT00000022395_90_90;ENST00000319481_90_90;ENST00000357041_90_90;ENST00000399441_90_90;ENST00000399443_90_90;ENST00000578013_90_90;ENST00000578055_90_90;ENST00000578091_90_90;ENST00000579851_90_90;ENST00000582645_90_90;ENST00000584119_90_90;ENST00000638614_90_90;ENSMUST00000074352_90_90;ENSMUST00000117361_90_90;ENSMUST00000118313_90_90;ENSMUST00000119043_90_90;ENSMUST00000119512_90_90;ENSMUST00000121774_90_90;ENSMUST00000121808_90_90;ENSMUST00000121888_90_90;ENSMUST00000122175_90_90;ENSMUST00000124570_90_90;ENSMUST00000143077_90_90;ENSMUST00000147197_90_90;ENSMUST00000155650_90_90
ENSCAFT00000022395_90_90;1.0;0.935;0.556;0.166;0.38;0.201;0.109;0.096;0.06;0.096;0.081;0.06;0.904;0.402;0.402;0.402;0.526;0.32;0.402;0.402;0.33;0.023;0.235;0.086;0.221
ENST00000319481_90_90;0.935;1.0;0.609;0.166;0.402;0.201;0.129;0.096;0.06;0.096;0.081;0.06;0.904;0.38;0.38;0.38;0.502;0.32;0.38;0.38;0.33;0.023;0.214;0.086;0.201
ENST00000357041_90_90;0.556;0.609;1.0;0.0;0.663;0.335;0.209;0.0;0.0;0.0;0.126;0.093;0.556;0.621;0.621;0.621;0.815;0.527;0.621;0.621;0.0;0.038;0.346;0.0;0.319
ENST00000399441_90_90;0.166;0.166;0.0;1.0;0.0;0.0;0.0;0.362;0.241;0.505;0.0;0.0;0.166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.406;0.0;0.0;0.518;0.0
ENST00000399443_90_90;0.38;0.402;0.663;0.0;1.0;0.476;0.355;0.0;0.0;0.0;0.0;0.145;0.38;0.908;0.908;0.908;0.672;0.769;0.908;0.908;0.0;0.063;0.528;0.0;0.252
ENST00000578013_90_90;0.201;0.201;0.335;0.0;0.476;1.0;0.066;0.0;0.0;0.0;0.0;0.0;0.201;0.476;0.476;0.476;0.356;0.597;0.476;0.476;0.0;0.0;0.087;0.0;0.0
ENST00000578055_90_90;0.109;0.129;0.209;0.0;0.355;0.066;1.0;0.0;0.0;0.0;0.0;0.416;0.109;0.282;0.282;0.282;0.199;0.124;0.282;0.282;0.0;0.202;0.322;0.0;0.287
ENST00000578091_90_90;0.096;0.096;0.0;0.362;0.0;0.0;0.0;1.0;0.73;0.654;0.0;0.0;0.096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.242;0.0;0.0;0.47;0.0
ENST00000579851_90_90;0.06;0.06;0.0;0.241;0.0;0.0;0.0;0.73;1.0;0.438;0.0;0.0;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.156;0.0;0.0;0.395;0.0
ENST00000582645_90_90;0.096;0.096;0.0;0.505;0.0;0.0;0.0;0.654;0.438;1.0;0.0;0.0;0.096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.242;0.0;0.0;0.47;0.0
