;ENSCAFT00000016446_90_90;ENST00000290246_90_90;ENST00000352077_90_90;ENST00000372176_90_90;ENST00000396391_90_90;ENST00000425546_90_90;ENST00000450812_90_90;ENST00000452857_90_90;ENST00000467800_90_90;ENSMUST00000071699_90_90;ENSMUST00000074046_90_90;ENSMUST00000094329_90_90;ENSMUST00000103088_90_90;ENSMUST00000103091_90_90;ENSMUST00000126318_90_90;ENSMUST00000128690_90_90;ENSMUST00000133205_90_90;ENSMUST00000137188_90_90;ENSMUST00000148643_90_90
ENSCAFT00000016446_90_90;1.0;0.669;0.666;0.56;0.669;0.372;0.471;0.134;0.346;0.999;0.86;0.859;0.999;0.859;0.087;0.057;0.17;0.268;0.294
ENST00000290246_90_90;0.669;1.0;0.997;0.878;1.0;0.358;0.47;0.393;0.436;0.693;0.501;0.5;0.693;0.5;0.088;0.058;0.172;0.27;0.052
ENST00000352077_90_90;0.666;0.997;1.0;0.875;0.997;0.359;0.467;0.394;0.438;0.691;0.499;0.498;0.691;0.498;0.089;0.058;0.173;0.271;0.053
ENST00000372176_90_90;0.56;0.878;0.875;1.0;0.878;0.407;0.348;0.448;0.49;0.594;0.408;0.407;0.594;0.407;0.0;0.0;0.049;0.308;0.058
ENST00000396391_90_90;0.669;1.0;0.997;0.878;1.0;0.358;0.47;0.393;0.436;0.693;0.501;0.5;0.693;0.5;0.088;0.058;0.172;0.27;0.052
ENST00000425546_90_90;0.372;0.358;0.359;0.407;0.358;1.0;0.264;0.076;0.385;0.335;0.374;0.372;0.335;0.372;0.0;0.0;0.0;0.214;0.105
ENST00000450812_90_90;0.471;0.47;0.467;0.348;0.47;0.264;1.0;0.0;0.088;0.426;0.474;0.473;0.426;0.473;0.186;0.122;0.363;0.569;0.0
ENST00000452857_90_90;0.134;0.393;0.394;0.448;0.393;0.076;0.0;1.0;0.359;0.203;0.045;0.045;0.203;0.045;0.0;0.0;0.0;0.0;0.083
ENST00000467800_90_90;0.346;0.436;0.438;0.49;0.436;0.385;0.088;0.359;1.0;0.386;0.211;0.212;0.386;0.212;0.0;0.0;0.0;0.031;0.074
ENSMUST00000071699_90_90;0.999;0.693;0.691;0.594;0.693;0.335;0.426;0.203;0.386;1.0;0.747;0.757;1.0;0.757;0.079;0.052;0.154;0.243;0.259
ENSMUST00000074046_90_90;0.86;0.501;0.499;0.408;0.501;0.374;0.474;0.045;0.211;0.747;1.0;0.984;0.747;0.984;0.086;0.056;0.168;0.265;0.396
ENSMUST00000094329_90_90;0.859;0.5;0.498;0.407;0.5;0.372;0.473;0.045;0.212;0.757;0.984;1.0;0.757;1.0;0.087;0.057;0.17;0.269;0.402
ENSMUST00000103088_90_90;0.999;0.693;0.691;0.594;0.693;0.335;0.426;0.203;0.386;1.0;0.747;0.757;1.0;0.757;0.079;0.052;0.154;0.243;0.259
ENSMUST00000103091_90_90;0.859;0.5;0.498;0.407;0.5;0.372;0.473;0.045;0.212;0.757;0.984;1.0;0.757;1.0;0.087;0.057;0.17;0.269;0.402
ENSMUST00000126318_90_90;0.087;0.088;0.089;0.0;0.088;0.0;0.186;0.0;0.0;0.079;0.086;0.087;0.079;0.087;1.0;0.613;0.514;0.0;0.0
ENSMUST00000128690_90_90;0.057;0.058;0.058;0.0;0.058;0.0;0.122;0.0;0.0;0.052;0.056;0.057;0.052;0.057;0.613;1.0;0.337;0.0;0.0
ENSMUST00000133205_90_90;0.17;0.172;0.173;0.049;0.172;0.0;0.363;0.0;0.0;0.154;0.168;0.17;0.154;0.17;0.514;0.337;1.0;0.083;0.0
ENSMUST00000137188_90_90;0.268;0.27;0.271;0.308;0.27;0.214;0.569;0.0;0.031;0.243;0.265;0.269;0.243;0.269;0.0;0.0;0.083;1.0;0.0
ENSMUST00000148643_90_90;0.294;0.052;0.053;0.058;0.052;0.105;0.0;0.083;0.074;0.259;0.396;0.402;0.259;0.402;0.0;0.0;0.0;0.0;1.0
