;ENSCAFT00000022170_90_90;ENST00000264731_90_90;ENST00000320472_90_90;ENST00000354600_90_90;ENST00000392460_90_90;ENST00000392461_90_90;ENST00000392463_90_90;ENST00000418709_90_90;ENST00000434928_90_90;ENST00000437221_90_90;ENST00000440651_90_90;ENST00000449992_90_90;ENST00000456148_90_90;ENSMUST00000040231_90_90;ENSMUST00000065523_90_90;ENSMUST00000115304_90_90;ENSMUST00000115305_90_90;ENSMUST00000115306_90_90;ENSMUST00000115307_90_90;ENSMUST00000115308_90_90;ENSMUST00000115310_90_90
ENSCAFT00000022170_90_90;1.0;1.0;0.75;0.841;0.816;0.591;0.657;0.662;0.143;0.503;0.994;0.716;0.835;0.84;0.815;0.394;0.502;0.835;0.284;0.656;0.999
ENST00000264731_90_90;1.0;1.0;0.75;0.824;0.816;0.579;0.644;0.627;0.127;0.467;0.994;0.702;0.818;0.823;0.815;0.386;0.467;0.818;0.283;0.622;0.999
ENST00000320472_90_90;0.75;0.75;1.0;0.579;0.907;0.767;0.697;0.822;0.163;0.609;0.744;0.457;0.573;0.578;0.906;0.512;0.608;0.573;0.377;0.815;0.749
ENST00000354600_90_90;0.841;0.824;0.579;1.0;0.644;0.71;0.787;0.467;0.169;0.571;0.818;0.855;0.993;0.999;0.643;0.482;0.57;0.993;0.122;0.462;0.823
ENST00000392460_90_90;0.816;0.816;0.907;0.644;1.0;0.697;0.786;0.759;0.152;0.563;0.81;0.522;0.638;0.643;0.999;0.471;0.563;0.638;0.347;0.753;0.815
ENST00000392461_90_90;0.591;0.579;0.767;0.71;0.697;1.0;0.889;0.609;0.228;0.785;0.573;0.565;0.703;0.709;0.695;0.678;0.784;0.703;0.162;0.602;0.578
ENST00000392463_90_90;0.657;0.644;0.697;0.787;0.786;0.889;1.0;0.563;0.209;0.714;0.638;0.642;0.78;0.786;0.784;0.612;0.714;0.779;0.149;0.557;0.643
ENST00000418709_90_90;0.662;0.627;0.822;0.467;0.759;0.609;0.563;1.0;0.17;0.756;0.621;0.351;0.462;0.467;0.759;0.535;0.756;0.462;0.395;0.992;0.626
ENST00000434928_90_90;0.143;0.127;0.163;0.169;0.152;0.228;0.209;0.17;1.0;0.239;0.128;0.04;0.17;0.169;0.152;0.315;0.24;0.17;0.299;0.171;0.127
ENST00000437221_90_90;0.503;0.467;0.609;0.571;0.563;0.785;0.714;0.756;0.239;1.0;0.462;0.434;0.564;0.57;0.563;0.718;0.999;0.564;0.169;0.749;0.467
ENST00000440651_90_90;0.994;0.994;0.744;0.818;0.81;0.573;0.638;0.621;0.128;0.462;1.0;0.696;0.823;0.818;0.81;0.381;0.462;0.823;0.285;0.625;0.994
ENST00000449992_90_90;0.716;0.702;0.457;0.855;0.522;0.565;0.642;0.351;0.04;0.434;0.696;1.0;0.848;0.854;0.521;0.336;0.434;0.848;0.0;0.346;0.701
ENST00000456148_90_90;0.835;0.818;0.573;0.993;0.638;0.703;0.78;0.462;0.17;0.564;0.823;0.848;1.0;0.993;0.638;0.476;0.565;0.999;0.123;0.464;0.818
ENSMUST00000040231_90_90;0.84;0.823;0.578;0.999;0.643;0.709;0.786;0.467;0.169;0.57;0.818;0.854;0.993;1.0;0.644;0.48;0.571;0.993;0.116;0.462;0.824
ENSMUST00000065523_90_90;0.815;0.815;0.906;0.643;0.999;0.695;0.784;0.759;0.152;0.563;0.81;0.521;0.638;0.644;1.0;0.47;0.563;0.638;0.325;0.752;0.816
ENSMUST00000115304_90_90;0.394;0.386;0.512;0.482;0.471;0.678;0.612;0.535;0.315;0.718;0.381;0.336;0.476;0.48;0.47;1.0;0.715;0.474;0.198;0.526;0.386
ENSMUST00000115305_90_90;0.502;0.467;0.608;0.57;0.563;0.784;0.714;0.756;0.24;0.999;0.462;0.434;0.565;0.571;0.563;0.715;1.0;0.564;0.158;0.749;0.467
ENSMUST00000115306_90_90;0.835;0.818;0.573;0.993;0.638;0.703;0.779;0.462;0.17;0.564;0.823;0.848;0.999;0.993;0.638;0.474;0.564;1.0;0.117;0.464;0.818
ENSMUST00000115307_90_90;0.284;0.283;0.377;0.122;0.347;0.162;0.149;0.395;0.299;0.169;0.285;0.0;0.123;0.116;0.325;0.198;0.158;0.117;1.0;0.37;0.269
ENSMUST00000115308_90_90;0.656;0.622;0.815;0.462;0.753;0.602;0.557;0.992;0.171;0.749;0.625;0.346;0.464;0.462;0.752;0.526;0.749;0.464;0.37;1.0;0.621
ENSMUST00000115310_90_90;0.999;0.999;0.749;0.823;0.815;0.578;0.643;0.626;0.127;0.467;0.994;0.701;0.818;0.824;0.816;0.386;0.467;0.818;0.269;0.621;1.0
