;ENSCAFT00000017891_90_90;ENST00000265165_90_90;ENST00000379951_90_90;ENST00000438313_90_90;ENST00000504950_90_90;ENST00000506680_90_90;ENST00000510624_90_90;ENST00000512172_90_90;ENST00000515500_90_90;ENSMUST00000029611_90_90;ENSMUST00000066849_90_90;ENSMUST00000098611_90_90;ENSMUST00000106341_90_90
ENSCAFT00000017891_90_90;1.0;0.632;0.526;0.611;0.211;0.55;0.421;0.235;0.263;0.875;0.75;0.706;0.647
ENST00000265165_90_90;0.632;1.0;0.75;0.867;0.375;0.765;0.625;0.176;0.278;0.611;0.588;0.474;0.5
ENST00000379951_90_90;0.526;0.75;1.0;0.857;0.25;0.647;0.6;0.2;0.167;0.5;0.562;0.368;0.667
ENST00000438313_90_90;0.611;0.867;0.857;1.0;0.25;0.647;0.714;0.2;0.167;0.588;0.667;0.444;0.562
ENST00000504950_90_90;0.211;0.375;0.25;0.25;1.0;0.375;0.385;0.333;0.5;0.235;0.188;0.333;0.188
ENST00000506680_90_90;0.55;0.765;0.647;0.647;0.375;1.0;0.444;0.176;0.278;0.526;0.5;0.4;0.5
ENST00000510624_90_90;0.421;0.625;0.6;0.714;0.385;0.444;1.0;0.333;0.267;0.471;0.533;0.6;0.438
ENST00000512172_90_90;0.235;0.176;0.2;0.2;0.333;0.176;0.333;1.0;0.444;0.267;0.214;0.385;0.214
ENST00000515500_90_90;0.263;0.278;0.167;0.167;0.5;0.278;0.267;0.444;1.0;0.294;0.25;0.4;0.25
ENSMUST00000029611_90_90;0.875;0.611;0.5;0.588;0.235;0.526;0.471;0.267;0.294;1.0;0.857;0.8;0.733
ENSMUST00000066849_90_90;0.75;0.588;0.562;0.667;0.188;0.5;0.533;0.214;0.25;0.857;1.0;0.667;0.846
ENSMUST00000098611_90_90;0.706;0.474;0.368;0.444;0.333;0.4;0.6;0.385;0.4;0.8;0.667;1.0;0.562
ENSMUST00000106341_90_90;0.647;0.5;0.667;0.562;0.188;0.5;0.438;0.214;0.25;0.733;0.846;0.562;1.0
