;ENSCAFT00000028257_90_90;ENST00000422393_90_90;ENST00000433491_90_90;ENST00000434483_90_90;ENST00000443502_90_90;ENST00000455268_90_90;ENST00000494475_90_90;ENST00000612423_90_90;ENST00000619236_90_90;ENST00000621218_90_90;ENSMUST00000033800_90_90;ENSMUST00000113085_90_90
ENSCAFT00000028257_90_90;1.0;0.3;0.143;0.333;0.286;0.273;0.25;0.385;0.5;0.385;0.385;0.5
ENST00000422393_90_90;0.3;1.0;0.286;0.857;0.429;0.875;0.778;0.583;0.625;0.583;0.462;0.444
ENST00000433491_90_90;0.143;0.286;1.0;0.333;0.667;0.25;0.222;0.167;0.333;0.167;0.077;0.143
ENST00000434483_90_90;0.333;0.857;0.333;1.0;0.5;0.75;0.667;0.5;0.714;0.5;0.385;0.5
ENST00000443502_90_90;0.286;0.429;0.667;0.5;1.0;0.375;0.333;0.25;0.5;0.25;0.154;0.286
ENST00000455268_90_90;0.273;0.875;0.25;0.75;0.375;1.0;0.889;0.667;0.556;0.667;0.538;0.4
ENST00000494475_90_90;0.25;0.778;0.222;0.667;0.333;0.889;1.0;0.75;0.5;0.75;0.615;0.364
ENST00000612423_90_90;0.385;0.583;0.167;0.5;0.25;0.667;0.75;1.0;0.5;1.0;0.846;0.385
ENST00000619236_90_90;0.5;0.625;0.333;0.714;0.5;0.556;0.5;0.5;1.0;0.5;0.385;0.714
ENST00000621218_90_90;0.385;0.583;0.167;0.5;0.25;0.667;0.75;1.0;0.5;1.0;0.846;0.385
ENSMUST00000033800_90_90;0.385;0.462;0.077;0.385;0.154;0.538;0.615;0.846;0.385;0.846;1.0;0.5
ENSMUST00000113085_90_90;0.5;0.444;0.143;0.5;0.286;0.4;0.364;0.385;0.714;0.385;0.5;1.0
