;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENSCAFT00000014853_90_90;1.0;0.783;0.841;0.262;0.092;0.104;0.053;0.194;0.102;0.123;0.254;0.024;0.203;0.172;0.135;0.821;0.744;0.924;0.886;0.821;0.744;0.924;0.855;0.809;0.044;0.065;0.363;0.201;0.711;0.253;0.196;0.102;0.034
ENST00000323180_90_90;0.783;1.0;0.917;0.372;0.106;0.108;0.066;0.297;0.181;0.129;0.363;0.036;0.193;0.147;0.163;0.734;0.782;0.834;0.797;0.734;0.782;0.834;0.899;0.851;0.055;0.077;0.347;0.211;0.601;0.286;0.147;0.116;0.045
ENST00000418153_90_90;0.841;0.917;1.0;0.365;0.105;0.105;0.065;0.291;0.178;0.124;0.356;0.035;0.205;0.144;0.16;0.79;0.731;0.892;0.855;0.79;0.731;0.892;0.825;0.779;0.054;0.076;0.338;0.191;0.669;0.255;0.145;0.115;0.044
ENST00000524497_90_90;0.262;0.372;0.365;1.0;0.24;0.0;0.137;0.738;0.453;0.0;0.984;0.081;0.0;0.321;0.394;0.295;0.309;0.308;0.319;0.295;0.309;0.308;0.318;0.32;0.116;0.163;0.593;0.069;0.17;0.0;0.399;0.257;0.098
ENST00000525438_90_90;0.092;0.106;0.105;0.24;1.0;0.0;0.546;0.327;0.044;0.0;0.245;0.336;0.0;0.388;0.607;0.11;0.116;0.1;0.104;0.11;0.116;0.1;0.103;0.108;0.472;0.657;0.169;0.0;0.0;0.0;0.411;0.944;0.397
ENST00000525676_90_90;0.104;0.108;0.105;0.0;0.0;1.0;0.0;0.0;0.0;0.339;0.0;0.0;0.474;0.0;0.0;0.113;0.12;0.101;0.105;0.113;0.12;0.101;0.105;0.111;0.0;0.0;0.0;0.0;0.131;0.11;0.0;0.0;0.0
ENST00000527782_90_90;0.053;0.066;0.065;0.137;0.546;0.0;1.0;0.186;0.0;0.0;0.14;0.647;0.0;0.219;0.342;0.068;0.071;0.061;0.064;0.068;0.071;0.061;0.064;0.067;0.873;0.824;0.083;0.0;0.0;0.0;0.229;0.51;0.746
ENST00000529734_90_90;0.194;0.297;0.291;0.738;0.327;0.0;0.186;1.0;0.613;0.0;0.75;0.11;0.0;0.409;0.534;0.263;0.278;0.238;0.247;0.263;0.278;0.238;0.246;0.26;0.16;0.222;0.485;0.0;0.129;0.0;0.425;0.351;0.133
ENST00000529782_90_90;0.102;0.181;0.178;0.453;0.044;0.0;0.0;0.613;1.0;0.0;0.461;0.0;0.0;0.206;0.277;0.148;0.157;0.134;0.139;0.148;0.157;0.134;0.139;0.146;0.0;0.0;0.308;0.0;0.119;0.0;0.217;0.069;0.0
ENST00000530587_90_90;0.123;0.129;0.124;0.0;0.0;0.339;0.0;0.0;0.0;1.0;0.0;0.0;0.354;0.0;0.0;0.135;0.144;0.12;0.125;0.135;0.144;0.12;0.126;0.133;0.0;0.0;0.0;0.0;0.155;0.298;0.0;0.0;0.0
ENST00000531959_90_90;0.254;0.363;0.356;0.984;0.245;0.0;0.14;0.75;0.461;0.0;1.0;0.082;0.0;0.326;0.4;0.298;0.314;0.299;0.31;0.298;0.314;0.299;0.309;0.311;0.119;0.167;0.581;0.054;0.171;0.0;0.405;0.263;0.1
ENST00000532010_90_90;0.024;0.036;0.035;0.081;0.336;0.0;0.647;0.11;0.0;0.0;0.082;1.0;0.0;0.13;0.204;0.037;0.038;0.034;0.035;0.037;0.038;0.034;0.035;0.037;0.736;0.528;0.032;0.0;0.0;0.0;0.138;0.317;0.857
