;ENSCAFT00000002168_90_90;ENSCAFT00000045695_90_90;ENSCAFT00000013241_90_90;ENSCAFT00000019370_90_90;ENST00000253363_90_90;ENST00000338163_90_90;ENST00000361162_90_90;ENST00000374038_90_90;ENST00000397370_90_90;ENST00000403542_90_90;ENST00000412738_90_90;ENST00000416108_90_90;ENST00000416529_90_90;ENST00000425184_90_90;ENST00000426951_90_90;ENST00000429968_90_90;ENST00000433027_90_90;ENST00000434927_90_90;ENST00000444878_90_90;ENST00000448303_90_90;ENST00000449489_90_90;ENST00000453310_90_90;ENST00000455343_90_90;ENST00000476806_90_90;ENST00000490484_90_90;ENST00000528062_90_90;ENST00000615771_90_90;ENST00000369086_90_90;ENST00000369093_90_90;ENST00000412524_90_90;ENST00000436547_90_90;ENST00000479729_90_90;ENST00000497671_90_90;ENST00000313352_90_90;ENST00000349157_90_90;ENST00000453551_90_90;ENST00000456095_90_90;ENST00000526459_90_90;ENST00000526683_90_90;ENST00000527197_90_90;ENST00000527744_90_90;ENST00000529999_90_90;ENST00000531897_90_90;ENST00000532884_90_90;ENST00000533162_90_90;ENSMUST00000002599_90_90;ENSMUST00000100527_90_90;ENSMUST00000029149_90_90;ENSMUST00000109584_90_90;ENSMUST00000109587_90_90;ENSMUST00000126992_90_90;ENSMUST00000137566_90_90;ENSMUST00000142071_90_90;ENSMUST00000146288_90_90;ENSMUST00000146297_90_90;ENSMUST00000146549_90_90;ENSMUST00000147098_90_90;ENSMUST00000148794_90_90;ENSMUST00000152919_90_90;ENSMUST00000153514_90_90;ENSMUST00000154677_90_90;ENSMUST00000155837_90_90;ENSMUST00000033135_90_90;ENSMUST00000106226_90_90;ENSMUST00000106228_90_90;ENSMUST00000123666_90_90;ENSMUST00000133089_90_90;ENSMUST00000133444_90_90;ENSMUST00000141126_90_90;ENSMUST00000165023_90_90;ENSMUST00000205278_90_90;ENSMUST00000205835_90_90
ENSCAFT00000002168_90_90;1.0;0.942;0.389;0.899;0.355;0.226;0.348;0.097;0.103;0.014;0.014;0.014;0.0;0.014;0.056;0.021;0.011;0.078;0.014;0.214;0.014;0.014;0.014;0.053;0.108;0.342;0.096;0.052;0.318;0.12;0.318;0.002;0.078;0.917;0.996;0.889;0.914;0.582;0.965;0.942;0.563;0.393;0.365;0.435;0.294;0.986;0.956;0.612;0.039;0.617;0.311;0.014;0.485;0.167;0.612;0.014;0.041;0.369;0.014;0.051;0.0;0.014;0.317;0.317;0.305;0.078;0.04;0.082;0.254;0.317;0.077;0.062
ENSCAFT00000045695_90_90;0.942;1.0;0.421;0.935;0.351;0.225;0.345;0.1;0.106;0.001;0.001;0.001;0.003;0.001;0.06;0.026;0.016;0.081;0.001;0.208;0.001;0.001;0.001;0.051;0.104;0.339;0.093;0.064;0.314;0.133;0.314;0.0;0.078;0.889;0.939;0.919;0.918;0.544;0.969;0.888;0.575;0.4;0.372;0.422;0.341;0.956;0.986;0.596;0.038;0.601;0.303;0.001;0.473;0.163;0.596;0.001;0.04;0.359;0.001;0.049;0.003;0.001;0.313;0.313;0.315;0.078;0.041;0.079;0.246;0.313;0.078;0.049
ENSCAFT00000013241_90_90;0.389;0.421;1.0;0.325;0.109;0.121;0.109;0.145;0.164;0.054;0.054;0.054;0.074;0.034;0.153;0.07;0.061;0.151;0.054;0.0;0.054;0.054;0.054;0.0;0.0;0.11;0.0;0.125;0.513;0.209;0.49;0.028;0.203;0.223;0.277;0.245;0.261;0.38;0.299;0.24;0.411;0.528;0.511;0.162;0.47;0.383;0.412;0.157;0.066;0.156;0.208;0.059;0.174;0.207;0.157;0.059;0.068;0.0;0.059;0.078;0.082;0.059;0.489;0.511;0.433;0.203;0.068;0.165;0.302;0.489;0.216;0.057
ENSCAFT00000019370_90_90;0.899;0.935;0.325;1.0;0.348;0.207;0.346;0.094;0.043;0.003;0.003;0.003;0.0;0.003;0.044;0.021;0.0;0.071;0.003;0.209;0.003;0.003;0.003;0.047;0.071;0.33;0.071;0.009;0.274;0.063;0.274;0.0;0.012;0.887;0.897;0.924;0.926;0.491;0.935;0.889;0.529;0.292;0.262;0.403;0.221;0.9;0.938;0.615;0.02;0.618;0.313;0.003;0.465;0.156;0.615;0.003;0.011;0.383;0.003;0.03;0.0;0.003;0.272;0.272;0.269;0.012;0.012;0.081;0.256;0.272;0.012;0.071
ENST00000253363_90_90;0.355;0.351;0.109;0.348;1.0;0.74;0.989;0.437;0.057;0.031;0.031;0.031;0.03;0.0;0.162;0.062;0.063;0.365;0.031;0.634;0.031;0.031;0.031;0.089;0.377;0.958;0.276;0.028;0.105;0.026;0.107;0.032;0.034;0.34;0.317;0.33;0.322;0.139;0.308;0.331;0.13;0.094;0.097;0.34;0.077;0.352;0.342;0.593;0.045;0.587;0.265;0.045;0.409;0.172;0.593;0.045;0.045;0.347;0.045;0.044;0.042;0.045;0.108;0.105;0.106;0.034;0.0;0.115;0.093;0.108;0.026;0.008
ENST00000338163_90_90;0.226;0.225;0.121;0.207;0.74;1.0;0.748;0.548;0.07;0.038;0.038;0.038;0.036;0.0;0.203;0.077;0.079;0.458;0.038;0.508;0.038;0.038;0.038;0.111;0.466;0.7;0.344;0.035;0.121;0.032;0.124;0.04;0.041;0.214;0.2;0.208;0.203;0.162;0.195;0.209;0.15;0.11;0.115;0.415;0.092;0.226;0.22;0.396;0.064;0.392;0.34;0.063;0.497;0.231;0.396;0.063;0.063;0.278;0.063;0.062;0.058;0.063;0.124;0.121;0.123;0.041;0.0;0.142;0.11;0.124;0.031;0.009
ENST00000361162_90_90;0.348;0.345;0.109;0.346;0.989;0.748;1.0;0.442;0.058;0.031;0.031;0.031;0.03;0.0;0.163;0.063;0.064;0.37;0.031;0.623;0.031;0.031;0.031;0.09;0.381;0.947;0.279;0.029;0.106;0.026;0.108;0.032;0.034;0.333;0.311;0.323;0.316;0.14;0.302;0.325;0.131;0.095;0.098;0.344;0.078;0.346;0.336;0.599;0.046;0.592;0.267;0.045;0.4;0.174;0.599;0.045;0.045;0.35;0.045;0.044;0.043;0.045;0.109;0.106;0.107;0.034;0.0;0.116;0.094;0.109;0.026;0.008
ENST00000374038_90_90;0.097;0.1;0.145;0.094;0.437;0.548;0.442;1.0;0.115;0.067;0.067;0.067;0.061;0.0;0.37;0.137;0.142;0.828;0.067;0.227;0.067;0.067;0.067;0.0;0.201;0.396;0.0;0.057;0.165;0.049;0.171;0.072;0.064;0.09;0.085;0.088;0.086;0.132;0.083;0.088;0.128;0.136;0.142;0.273;0.115;0.101;0.098;0.212;0.113;0.209;0.394;0.112;0.265;0.359;0.212;0.112;0.112;0.097;0.112;0.107;0.098;0.112;0.171;0.166;0.172;0.064;0.0;0.244;0.162;0.171;0.048;0.015
ENST00000397370_90_90;0.103;0.106;0.164;0.043;0.057;0.07;0.058;0.115;1.0;0.144;0.144;0.144;0.121;0.0;0.134;0.311;0.336;0.132;0.144;0.0;0.144;0.144;0.144;0.0;0.0;0.059;0.0;0.285;0.103;0.214;0.107;0.166;0.322;0.048;0.097;0.047;0.056;0.156;0.095;0.058;0.151;0.261;0.277;0.0;0.299;0.101;0.098;0.058;0.433;0.058;0.103;0.154;0.072;0.16;0.058;0.154;0.445;0.0;0.154;0.333;0.128;0.154;0.107;0.103;0.103;0.322;0.202;0.0;0.0;0.107;0.276;0.025
ENST00000403542_90_90;0.014;0.001;0.054;0.003;0.031;0.038;0.031;0.067;0.144;1.0;1.0;1.0;0.2;0.575;0.039;0.243;0.274;0.078;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.032;0.0;0.0;0.05;0.0;0.053;0.459;0.135;0.0;0.014;0.0;0.015;0.023;0.014;0.015;0.019;0.0;0.0;0.0;0.0;0.016;0.015;0.031;0.279;0.031;0.057;1.0;0.039;0.095;0.031;1.0;0.274;0.0;1.0;0.243;0.2;1.0;0.053;0.051;0.0;0.136;0.0;0.0;0.0;0.053;0.088;0.169
