;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;0.947;1.0;1.0;0.979;0.437;0.434;0.2;0.224;0.2;0.196;0.2;0.2;0.203;0.207;0.228;0.203;0.195;0.195;0.196;0.178;0.195;0.151;0.151;0.195;0.14;0.195
transcript8_ENSRNOG00000031503;0.947;1.0;0.947;0.947;0.941;0.434;0.435;0.192;0.215;0.192;0.188;0.192;0.192;0.195;0.199;0.219;0.195;0.187;0.187;0.188;0.17;0.188;0.143;0.143;0.188;0.135;0.188
transcript36_MGP-PahariEiJ-G0020237;1.0;0.947;1.0;1.0;0.979;0.437;0.434;0.2;0.224;0.2;0.196;0.2;0.2;0.203;0.207;0.228;0.203;0.195;0.195;0.196;0.178;0.195;0.151;0.151;0.195;0.14;0.195
transcript37_MGP-PahariEiJ-G0020237;1.0;0.947;1.0;1.0;0.979;0.437;0.434;0.2;0.224;0.2;0.196;0.2;0.2;0.203;0.207;0.228;0.203;0.195;0.195;0.196;0.178;0.195;0.151;0.151;0.195;0.14;0.195
transcript37_ENSCGRG00001010245;0.979;0.941;0.979;0.979;1.0;0.428;0.435;0.204;0.229;0.204;0.199;0.204;0.204;0.207;0.211;0.233;0.207;0.198;0.198;0.2;0.179;0.199;0.153;0.153;0.199;0.142;0.199
transcript38_MGP-PahariEiJ-G0020237;0.437;0.434;0.437;0.437;0.428;1.0;0.984;0.087;0.098;0.087;0.087;0.087;0.087;0.089;0.091;0.1;0.089;0.086;0.086;0.087;0.08;0.085;0.053;0.053;0.085;0.03;0.085
transcript38_ENSCGRG00001010245;0.434;0.435;0.434;0.434;0.435;0.984;1.0;0.089;0.1;0.089;0.088;0.089;0.089;0.09;0.092;0.101;0.09;0.088;0.088;0.088;0.08;0.087;0.053;0.053;0.087;0.03;0.087
transcript32_ENSCGRG00015005362;0.2;0.192;0.2;0.2;0.204;0.087;0.089;1.0;0.89;1.0;0.948;1.0;1.0;0.983;0.964;0.876;0.986;0.913;0.913;0.946;0.87;0.979;0.845;0.846;0.979;0.921;0.979
transcript33_ENSCGRG00015005362;0.224;0.215;0.224;0.224;0.229;0.098;0.1;0.89;1.0;0.89;0.852;0.89;0.89;0.874;0.854;0.984;0.876;0.819;0.819;0.85;0.762;0.871;0.737;0.739;0.871;0.814;0.871
transcript22_ENSCGRG00000018457;0.2;0.192;0.2;0.2;0.204;0.087;0.089;1.0;0.89;1.0;0.948;1.0;1.0;0.983;0.964;0.876;0.986;0.913;0.913;0.946;0.87;0.979;0.845;0.846;0.979;0.921;0.979
transcript22_ENSPEMG00000024651;0.196;0.188;0.196;0.196;0.199;0.087;0.088;0.948;0.852;0.948;1.0;0.948;0.948;0.935;0.916;0.841;0.937;0.961;0.961;0.998;0.843;0.928;0.818;0.819;0.928;0.879;0.928
transcript26_ENSCGRG00000018457;0.2;0.192;0.2;0.2;0.204;0.087;0.089;1.0;0.89;1.0;0.948;1.0;1.0;0.983;0.964;0.876;0.986;0.913;0.913;0.946;0.87;0.979;0.845;0.846;0.979;0.921;0.979
transcript26_ENSCGRG00001010245;0.2;0.192;0.2;0.2;0.204;0.087;0.089;1.0;0.89;1.0;0.948;1.0;1.0;0.983;0.964;0.876;0.986;0.913;0.913;0.946;0.87;0.979;0.845;0.846;0.979;0.921;0.979
transcript42_ENSCGRG00000018457;0.203;0.195;0.203;0.203;0.207;0.089;0.09;0.983;0.874;0.983;0.935;0.983;0.983;1.0;0.98;0.885;0.996;0.9;0.9;0.933;0.853;0.962;0.828;0.83;0.962;0.905;0.962
