;transcript27_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript39_ENSMUGG00000013592;transcript49_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649
transcript27_ENSRNOG00000031503;1.0;0.551;1.0;0.977;0.976;0.978;0.978;0.978;0.883;0.901;0.901;0.859
transcript37_ENSMUGG00000013649;0.551;1.0;0.551;0.532;0.541;0.521;0.521;0.521;0.436;0.45;0.45;0.408
transcript34_ENSRNOG00000031503;1.0;0.551;1.0;0.977;0.976;0.978;0.978;0.978;0.883;0.901;0.901;0.859
transcript33_ENSMUSG00000054036;0.977;0.532;0.977;1.0;1.0;1.0;1.0;1.0;0.986;1.0;1.0;0.965
transcript33_MGP-PahariEiJ-G0020237;0.976;0.541;0.976;1.0;1.0;1.0;1.0;1.0;0.985;1.0;1.0;0.962
transcript27_ENSMUGG00000013649;0.978;0.521;0.978;1.0;1.0;1.0;1.0;1.0;0.907;0.919;0.919;0.887
transcript40_ENSMUGG00000013649;0.978;0.521;0.978;1.0;1.0;1.0;1.0;1.0;0.907;0.919;0.919;0.887
transcript39_ENSMUGG00000013592;0.978;0.521;0.978;1.0;1.0;1.0;1.0;1.0;0.907;0.919;0.919;0.887
transcript49_ENSMUGG00000013649;0.883;0.436;0.883;0.986;0.985;0.907;0.907;0.907;1.0;0.986;0.986;0.979
transcript38_ENSMUGG00000013649;0.901;0.45;0.901;1.0;1.0;0.919;0.919;0.919;0.986;1.0;1.0;0.966
transcript45_ENSMUGG00000013649;0.901;0.45;0.901;1.0;1.0;0.919;0.919;0.919;0.986;1.0;1.0;0.966
transcript46_ENSMUGG00000013649;0.859;0.408;0.859;0.965;0.962;0.887;0.887;0.887;0.979;0.966;0.966;1.0
