transcript;gene
transcript9_ENSMUNG00000007775;ENSMUNG00000007775
transcript21_ENSMUNG00000007775;ENSMUNG00000007775
transcript23_ENSMUNG00000007775;ENSMUNG00000007775
transcript25_ENSMUNG00000007775;ENSMUNG00000007775
transcript26_ENSMUNG00000007775;ENSMUNG00000007775
transcript30_ENSMUNG00000007775;ENSMUNG00000007775
transcript31_ENSMUNG00000007775;ENSMUNG00000007775
transcript32_ENSMUNG00000007775;ENSMUNG00000007775
transcript33_ENSMUNG00000007775;ENSMUNG00000007775
transcript9_ENSMUNG00000002377;ENSMUNG00000002377
transcript13_ENSMUNG00000002377;ENSMUNG00000002377
transcript23_ENSMUNG00000002377;ENSMUNG00000002377
transcript27_ENSMUNG00000002377;ENSMUNG00000002377
transcript35_ENSMUNG00000002377;ENSMUNG00000002377
transcript36_ENSMUNG00000002377;ENSMUNG00000002377
transcript37_ENSMUNG00000002377;ENSMUNG00000002377
transcript38_ENSMUNG00000002377;ENSMUNG00000002377
transcript10_ENSMUNG00000002391;ENSMUNG00000002391
transcript23_ENSMUNG00000002391;ENSMUNG00000002391
transcript30_ENSMUNG00000002391;ENSMUNG00000002391
transcript33_ENSMUNG00000002391;ENSMUNG00000002391
