;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENSCAFT00000003155_90_90;1.0;0.735;0.735;0.629;0.676;0.676;0.5;0.375;0.625;0.469;0.344;0.735;0.312;0.688;0.312;0.419;0.281;0.344;0.323;0.606;0.2;0.576;0.735;0.226;0.406;0.091;0.122;0.122;0.095;0.0;0.054;0.0;0.105;0.122
ENST00000264312_90_90;0.735;1.0;1.0;0.867;0.931;0.931;0.621;0.483;0.759;0.586;0.448;1.0;0.414;0.828;0.414;0.483;0.379;0.448;0.379;0.793;0.207;0.759;1.0;0.276;0.517;0.093;0.125;0.125;0.098;0.0;0.056;0.0;0.108;0.125
ENST00000381473_90_90;0.735;1.0;1.0;0.867;0.931;0.931;0.621;0.483;0.759;0.586;0.448;1.0;0.414;0.828;0.414;0.483;0.379;0.448;0.379;0.793;0.207;0.759;1.0;0.276;0.517;0.093;0.125;0.125;0.098;0.0;0.056;0.0;0.108;0.125
ENST00000396448_90_90;0.629;0.867;0.867;1.0;0.929;0.929;0.552;0.519;0.75;0.571;0.481;0.867;0.444;0.7;0.444;0.519;0.407;0.481;0.407;0.852;0.222;0.815;0.867;0.296;0.556;0.098;0.132;0.132;0.103;0.0;0.059;0.0;0.114;0.132
ENST00000425583_90_90;0.676;0.931;0.931;0.929;1.0;1.0;0.552;0.519;0.75;0.63;0.481;0.931;0.444;0.759;0.444;0.519;0.407;0.481;0.407;0.852;0.222;0.815;0.931;0.296;0.556;0.098;0.132;0.132;0.103;0.0;0.059;0.0;0.114;0.132
ENST00000444354_90_90;0.676;0.931;0.931;0.929;1.0;1.0;0.552;0.519;0.75;0.63;0.481;0.931;0.444;0.759;0.444;0.519;0.407;0.481;0.407;0.852;0.222;0.815;0.931;0.296;0.556;0.098;0.132;0.132;0.103;0.0;0.059;0.0;0.114;0.132
ENST00000503016_90_90;0.5;0.621;0.621;0.552;0.552;0.552;1.0;0.143;0.739;0.842;0.107;0.621;0.071;0.75;0.071;0.778;0.036;0.107;0.611;0.464;0.0;0.429;0.621;0.0;0.179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000504654_90_90;0.375;0.483;0.483;0.519;0.519;0.519;0.143;1.0;0.333;0.148;0.929;0.483;0.857;0.31;0.857;0.167;0.786;0.929;0.19;0.609;0.429;0.636;0.483;0.571;0.933;0.143;0.2;0.2;0.154;0.0;0.095;0.0;0.182;0.2
ENST00000505922_90_90;0.625;0.759;0.759;0.75;0.75;0.75;0.739;0.333;1.0;0.696;0.296;0.759;0.259;0.917;0.259;0.636;0.222;0.296;0.5;0.667;0.167;0.63;0.759;0.154;0.37;0.111;0.118;0.118;0.118;0.0;0.069;0.0;0.133;0.118
ENST00000506801_90_90;0.469;0.586;0.586;0.571;0.63;0.63;0.842;0.148;0.696;1.0;0.111;0.586;0.074;0.708;0.074;0.824;0.037;0.111;0.647;0.481;0.0;0.444;0.586;0.0;0.185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
