;ENSCAFT00000006783_90_90;ENST00000263280_90_90;ENST00000391910_90_90;ENST00000435164_90_90;ENST00000539396_90_90;ENST00000593979_90_90;ENST00000594287_90_90;ENST00000594704_90_90;ENST00000596012_90_90;ENST00000597021_90_90;ENST00000597063_90_90;ENST00000600358_90_90;ENST00000600615_90_90;ENSMUST00000019220_90_90;ENSMUST00000108495_90_90;ENSMUST00000184280_90_90;ENSMUST00000184694_90_90;ENSMUST00000184708_90_90;ENSMUST00000185011_90_90
ENSCAFT00000006783_90_90;1.0;0.855;0.877;0.286;0.742;0.226;0.312;0.186;0.106;0.164;0.191;0.399;0.186;0.909;0.887;0.231;0.186;0.37;0.083
ENST00000263280_90_90;0.855;1.0;0.976;0.338;0.881;0.253;0.308;0.166;0.129;0.189;0.216;0.417;0.211;0.94;0.961;0.232;0.211;0.345;0.061
ENST00000391910_90_90;0.877;0.976;1.0;0.329;0.859;0.245;0.328;0.163;0.125;0.183;0.21;0.436;0.207;0.963;0.94;0.228;0.207;0.364;0.081
ENST00000435164_90_90;0.286;0.338;0.329;1.0;0.38;0.635;0.0;0.147;0.324;0.473;0.541;0.44;0.0;0.304;0.311;0.267;0.0;0.436;0.0
ENST00000539396_90_90;0.742;0.881;0.859;0.38;1.0;0.284;0.347;0.077;0.144;0.212;0.242;0.463;0.242;0.824;0.843;0.147;0.242;0.384;0.067
ENST00000593979_90_90;0.226;0.253;0.245;0.635;0.284;1.0;0.0;0.201;0.512;0.744;0.849;0.301;0.0;0.245;0.253;0.351;0.0;0.319;0.0
ENST00000594287_90_90;0.312;0.308;0.328;0.0;0.347;0.0;1.0;0.0;0.0;0.0;0.0;0.318;0.181;0.328;0.308;0.0;0.181;0.249;0.353
ENST00000594704_90_90;0.186;0.166;0.163;0.147;0.077;0.201;0.0;1.0;0.283;0.237;0.221;0.05;0.0;0.163;0.166;0.673;0.0;0.052;0.0
ENST00000596012_90_90;0.106;0.129;0.125;0.324;0.144;0.512;0.0;0.283;1.0;0.688;0.604;0.122;0.0;0.125;0.129;0.345;0.0;0.13;0.0
ENST00000597021_90_90;0.164;0.189;0.183;0.473;0.212;0.744;0.0;0.237;0.688;1.0;0.877;0.207;0.0;0.183;0.189;0.408;0.0;0.219;0.0
ENST00000597063_90_90;0.191;0.216;0.21;0.541;0.242;0.849;0.0;0.221;0.604;0.877;1.0;0.245;0.0;0.21;0.216;0.383;0.0;0.259;0.0
ENST00000600358_90_90;0.399;0.417;0.436;0.44;0.463;0.301;0.318;0.05;0.122;0.207;0.245;1.0;0.0;0.413;0.394;0.132;0.0;0.812;0.284
ENST00000600615_90_90;0.186;0.211;0.207;0.0;0.242;0.0;0.181;0.0;0.0;0.0;0.0;0.0;1.0;0.207;0.211;0.0;1.0;0.0;0.0
ENSMUST00000019220_90_90;0.909;0.94;0.963;0.304;0.824;0.245;0.328;0.163;0.125;0.183;0.21;0.413;0.207;1.0;0.976;0.228;0.207;0.386;0.081
ENSMUST00000108495_90_90;0.887;0.961;0.94;0.311;0.843;0.253;0.308;0.166;0.129;0.189;0.216;0.394;0.211;0.976;1.0;0.232;0.211;0.366;0.061
ENSMUST00000184280_90_90;0.231;0.232;0.228;0.267;0.147;0.351;0.0;0.673;0.345;0.408;0.383;0.132;0.0;0.228;0.232;1.0;0.0;0.138;0.0
ENSMUST00000184694_90_90;0.186;0.211;0.207;0.0;0.242;0.0;0.181;0.0;0.0;0.0;0.0;0.0;1.0;0.207;0.211;0.0;1.0;0.0;0.0
ENSMUST00000184708_90_90;0.37;0.345;0.364;0.436;0.384;0.319;0.249;0.052;0.13;0.219;0.259;0.812;0.0;0.386;0.366;0.138;0.0;1.0;0.373
ENSMUST00000185011_90_90;0.083;0.061;0.081;0.0;0.067;0.0;0.353;0.0;0.0;0.0;0.0;0.284;0.0;0.081;0.061;0.0;0.0;0.373;1.0
