;ENSCAFT00000002501_90_90;ENST00000307972_90_90;ENST00000373057_90_90;ENST00000373060_90_90;ENST00000373063_90_90;ENST00000409208_90_90;ENST00000451305_90_90;ENSMUST00000097311_90_90;ENSMUST00000113262_90_90;ENSMUST00000113263_90_90;ENSMUST00000113265_90_90
ENSCAFT00000002501_90_90;1.0;0.981;0.978;0.981;0.997;0.999;0.069;0.974;0.991;0.971;0.99
ENST00000307972_90_90;0.981;1.0;0.997;1.0;0.981;0.982;0.068;0.99;0.972;0.987;0.971
ENST00000373057_90_90;0.978;0.997;1.0;0.997;0.978;0.979;0.068;0.987;0.969;0.99;0.968
ENST00000373060_90_90;0.981;1.0;0.997;1.0;0.981;0.982;0.068;0.99;0.972;0.987;0.971
ENST00000373063_90_90;0.997;0.981;0.978;0.981;1.0;0.999;0.069;0.971;0.988;0.968;0.99
ENST00000409208_90_90;0.999;0.982;0.979;0.982;0.999;1.0;0.069;0.972;0.99;0.969;0.988
ENST00000451305_90_90;0.069;0.068;0.068;0.068;0.069;0.069;1.0;0.067;0.068;0.067;0.068
ENSMUST00000097311_90_90;0.974;0.99;0.987;0.99;0.971;0.972;0.067;1.0;0.982;0.997;0.981
ENSMUST00000113262_90_90;0.991;0.972;0.969;0.972;0.988;0.99;0.068;0.982;1.0;0.98;0.999
ENSMUST00000113263_90_90;0.971;0.987;0.99;0.987;0.968;0.969;0.067;0.997;0.98;1.0;0.978
ENSMUST00000113265_90_90;0.99;0.971;0.968;0.971;0.99;0.988;0.068;0.981;0.999;0.978;1.0
