;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript49_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237
transcript8_ENSMSIG00000000513;1.0;0.128;0.133;0.131;0.134;0.108;0.108;0.123;0.123;0.154;0.152;0.123;0.125;0.128
transcript49_ENSMSIG00000000513;0.128;1.0;0.965;0.977;0.953;1.0;1.0;0.878;0.878;0.985;1.0;1.0;0.985;1.0
transcript60_ENSMSIG00000000513;0.133;0.965;1.0;0.965;0.941;0.959;0.959;0.838;0.838;0.97;0.985;0.969;0.984;0.965
transcript61_ENSMSIG00000000513;0.131;0.977;0.965;1.0;0.976;0.973;0.973;0.851;0.851;0.955;0.97;0.969;0.954;0.977
transcript62_ENSMSIG00000000513;0.134;0.953;0.941;0.976;1.0;0.946;0.946;0.824;0.875;0.924;0.939;0.954;0.938;0.953
transcript40_MGP-SPRETEiJ-G0021131;0.108;1.0;0.959;0.973;0.946;1.0;0.99;0.883;0.854;0.988;1.0;1.0;0.987;1.0
transcript49_MGP-SPRETEiJ-G0021131;0.108;1.0;0.959;0.973;0.946;0.99;1.0;0.892;0.863;0.977;0.988;0.987;0.974;0.99
transcript65_MGP-SPRETEiJ-G0021131;0.123;0.878;0.838;0.851;0.824;0.883;0.892;1.0;0.755;0.86;0.872;0.882;0.868;0.883
transcript66_MGP-SPRETEiJ-G0021131;0.123;0.878;0.838;0.851;0.875;0.854;0.863;0.755;1.0;0.826;0.837;0.855;0.842;0.854
transcript7_ENSMUSG00000054036;0.154;0.985;0.97;0.955;0.924;0.988;0.977;0.86;0.826;1.0;0.99;0.986;0.986;0.99
transcript46_ENSMUSG00000054036;0.152;1.0;0.985;0.97;0.939;1.0;0.988;0.872;0.837;0.99;1.0;1.0;1.0;1.0
transcript38_MGP-CAROLIEiJ-G0020234;0.123;1.0;0.969;0.969;0.954;1.0;0.987;0.882;0.855;0.986;1.0;1.0;0.978;1.0
transcript47_MGP-CAROLIEiJ-G0020234;0.125;0.985;0.984;0.954;0.938;0.987;0.974;0.868;0.842;0.986;1.0;0.978;1.0;0.978
transcript38_MGP-PahariEiJ-G0020237;0.128;1.0;0.965;0.977;0.953;1.0;0.99;0.883;0.854;0.99;1.0;1.0;0.978;1.0
