;ENSCAFT00000004613_90_90;ENSCAFT00000004622_90_90;ENST00000354667_90_90;ENST00000356674_90_90;ENST00000360787_90_90;ENST00000618183_90_90;ENSMUST00000069949_90_90;ENSMUST00000090002_90_90;ENSMUST00000114459_90_90;ENSMUST00000203220_90_90;ENSMUST00000203253_90_90;ENSMUST00000203954_90_90;ENSMUST00000204158_90_90;ENSMUST00000204188_90_90
ENSCAFT00000004613_90_90;1.0;0.811;0.811;0.858;0.811;0.527;0.716;0.858;0.811;0.858;0.508;0.811;0.716;0.716
ENSCAFT00000004622_90_90;0.811;1.0;0.923;0.871;0.923;0.65;0.742;0.871;0.923;0.871;0.412;0.923;0.742;0.742
ENST00000354667_90_90;0.811;0.923;1.0;0.945;1.0;0.716;0.811;0.945;1.0;0.945;0.412;1.0;0.811;0.811
ENST00000356674_90_90;0.858;0.871;0.945;1.0;0.945;0.66;0.858;1.0;0.945;1.0;0.436;0.945;0.858;0.858
ENST00000360787_90_90;0.811;0.923;1.0;0.945;1.0;0.716;0.811;0.945;1.0;0.945;0.412;1.0;0.811;0.811
ENST00000618183_90_90;0.527;0.65;0.716;0.66;0.716;1.0;0.527;0.66;0.716;0.66;0.35;0.716;0.527;0.527
ENSMUST00000069949_90_90;0.716;0.742;0.811;0.858;0.811;0.527;1.0;0.858;0.811;0.858;0.42;0.811;1.0;1.0
ENSMUST00000090002_90_90;0.858;0.871;0.945;1.0;0.945;0.66;0.858;1.0;0.945;1.0;0.436;0.945;0.858;0.858
ENSMUST00000114459_90_90;0.811;0.923;1.0;0.945;1.0;0.716;0.811;0.945;1.0;0.945;0.412;1.0;0.811;0.811
ENSMUST00000203220_90_90;0.858;0.871;0.945;1.0;0.945;0.66;0.858;1.0;0.945;1.0;0.436;0.945;0.858;0.858
ENSMUST00000203253_90_90;0.508;0.412;0.412;0.436;0.412;0.35;0.42;0.436;0.412;0.436;1.0;0.412;0.42;0.42
ENSMUST00000203954_90_90;0.811;0.923;1.0;0.945;1.0;0.716;0.811;0.945;1.0;0.945;0.412;1.0;0.811;0.811
ENSMUST00000204158_90_90;0.716;0.742;0.811;0.858;0.811;0.527;1.0;0.858;0.811;0.858;0.42;0.811;1.0;1.0
ENSMUST00000204188_90_90;0.716;0.742;0.811;0.858;0.811;0.527;1.0;0.858;0.811;0.858;0.42;0.811;1.0;1.0
