;transcript2_ENSMLUG00000027828;transcript2_ENSSTOG00000019743;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;1.0;1.0;0.868;1.0;1.0;0.738;0.453;0.996;0.985;0.96;0.971;1.0
transcript2_ENSSTOG00000019743;1.0;1.0;1.0;0.87;1.0;1.0;0.72;0.439;0.997;0.983;0.953;0.97;1.0
transcript17_ENSMUGG00000013649;1.0;1.0;1.0;1.0;1.0;1.0;0.86;0.514;0.998;0.978;0.978;0.978;1.0
transcript17_ENSMUGG00000013592;0.868;0.87;1.0;1.0;0.87;0.864;0.76;0.47;0.877;0.861;0.861;0.861;0.87
transcript29_ENSMUGG00000013592;1.0;1.0;1.0;0.87;1.0;1.0;0.869;0.53;0.996;0.981;0.981;0.981;1.0
transcript8_ENSPEMG00000024651;1.0;1.0;1.0;0.864;1.0;1.0;0.878;0.542;0.995;0.977;0.977;0.977;1.0
transcript8_ENSNGAG00000018584;0.738;0.72;0.86;0.76;0.869;0.878;1.0;0.606;0.717;0.73;0.754;0.741;0.72
transcript7_ENSNGAG00000018584;0.453;0.439;0.514;0.47;0.53;0.542;0.606;1.0;0.435;0.443;0.457;0.449;0.439
transcript9_ENSNGAG00000018584;0.996;0.997;0.998;0.877;0.996;0.995;0.717;0.435;1.0;0.979;0.949;0.965;0.997
transcript10_ENSNGAG00000018584;0.985;0.983;0.978;0.861;0.981;0.977;0.73;0.443;0.979;1.0;0.969;0.986;0.983
transcript18_ENSNGAG00000018584;0.96;0.953;0.978;0.861;0.981;0.977;0.754;0.457;0.949;0.969;1.0;0.983;0.953
transcript19_ENSNGAG00000018584;0.971;0.97;0.978;0.861;0.981;0.977;0.741;0.449;0.965;0.986;0.983;1.0;0.97
transcript15_ENSSTOG00000019743;1.0;1.0;1.0;0.87;1.0;1.0;0.72;0.439;0.997;0.983;0.953;0.97;1.0
