;ENSCAFT00000007234_90_90;ENSCAFT00000044406_90_90;ENST00000356360_90_90;ENST00000393346_90_90;ENST00000525162_90_90;ENST00000526033_90_90;ENST00000526961_90_90;ENST00000528256_90_90;ENST00000528398_90_90;ENST00000529016_90_90;ENST00000529760_90_90;ENST00000530542_90_90;ENST00000530692_90_90;ENST00000531558_90_90;ENST00000531930_90_90;ENST00000532041_90_90;ENST00000532317_90_90;ENST00000532603_90_90;ENST00000534412_90_90;ENST00000630913_90_90;ENSMUST00000049537_90_90;ENSMUST00000207084_90_90;ENSMUST00000207225_90_90;ENSMUST00000207484_90_90;ENSMUST00000208089_90_90;ENSMUST00000208684_90_90;ENSMUST00000208730_90_90;ENSMUST00000208742_90_90;ENSMUST00000209068_90_90
ENSCAFT00000007234_90_90;1.0;0.779;0.798;0.84;0.254;0.841;0.295;0.269;0.705;0.25;0.326;0.345;0.216;0.093;0.326;0.163;0.767;0.133;0.093;0.163;0.784;0.665;0.74;0.8;0.404;0.117;0.727;0.816;0.744
ENSCAFT00000044406_90_90;0.779;1.0;0.762;0.804;0.266;0.804;0.278;0.283;0.77;0.283;0.397;0.304;0.299;0.087;0.346;0.186;0.878;0.151;0.087;0.186;0.781;0.623;0.81;0.799;0.516;0.133;0.831;0.779;0.851
ENST00000356360_90_90;0.798;0.762;1.0;0.954;0.284;0.917;0.315;0.3;0.766;0.327;0.348;0.403;0.187;0.105;0.363;0.183;0.835;0.172;0.105;0.183;0.886;0.755;0.805;0.905;0.41;0.132;0.789;0.923;0.808
ENST00000393346_90_90;0.84;0.804;0.954;1.0;0.269;0.964;0.36;0.285;0.813;0.312;0.394;0.419;0.231;0.1;0.345;0.174;0.88;0.164;0.1;0.174;0.93;0.8;0.852;0.95;0.456;0.126;0.835;0.969;0.853
ENST00000525162_90_90;0.254;0.266;0.284;0.269;1.0;0.281;0.0;0.773;0.334;0.0;0.0;0.0;0.0;0.096;0.783;0.252;0.293;0.0;0.096;0.252;0.249;0.207;0.284;0.244;0.0;0.468;0.276;0.249;0.27
ENST00000526033_90_90;0.841;0.804;0.917;0.964;0.281;1.0;0.373;0.298;0.843;0.323;0.406;0.382;0.239;0.104;0.36;0.181;0.913;0.17;0.104;0.181;0.896;0.765;0.882;0.914;0.47;0.13;0.863;0.933;0.883
ENST00000526961_90_90;0.295;0.278;0.315;0.36;0.0;0.373;1.0;0.0;0.337;0.44;0.671;0.54;0.623;0.0;0.0;0.0;0.33;0.419;0.0;0.0;0.389;0.433;0.314;0.382;0.463;0.0;0.337;0.36;0.33
ENST00000528256_90_90;0.269;0.283;0.3;0.285;0.773;0.298;0.0;1.0;0.282;0.0;0.0;0.0;0.0;0.164;0.823;0.403;0.311;0.0;0.164;0.403;0.264;0.167;0.302;0.259;0.0;0.452;0.294;0.265;0.287
ENST00000528398_90_90;0.705;0.77;0.766;0.813;0.334;0.843;0.337;0.282;1.0;0.381;0.479;0.348;0.254;0.041;0.351;0.099;0.883;0.201;0.041;0.099;0.751;0.766;0.85;0.77;0.552;0.154;0.831;0.785;0.851
ENST00000529016_90_90;0.25;0.283;0.327;0.312;0.0;0.323;0.44;0.0;0.381;1.0;0.651;0.592;0.281;0.0;0.0;0.0;0.338;0.343;0.0;0.0;0.287;0.348;0.323;0.305;0.544;0.0;0.316;0.312;0.338
ENST00000529760_90_90;0.326;0.397;0.348;0.394;0.0;0.406;0.671;0.0;0.479;0.651;1.0;0.602;0.517;0.0;0.0;0.0;0.459;0.384;0.0;0.0;0.422;0.474;0.444;0.415;0.689;0.0;0.469;0.394;0.459
ENST00000530542_90_90;0.345;0.304;0.403;0.419;0.0;0.382;0.54;0.0;0.348;0.592;0.602;1.0;0.33;0.0;0.0;0.0;0.311;0.21;0.0;0.0;0.418;0.506;0.324;0.41;0.513;0.0;0.317;0.419;0.311
